          vname       code                                                                                                   short
1          pern          1                                                                                                       1
2          pern          2                                                                                                       2
3          pern          3                                                                                                       3
4          pern          4                                                                                                       4
5          pern          5                                                                                                       5
6          pern          6                                                                                                       6
7          pern          7                                                                                                       7
8          pern          8                                                                                                       8
9          pern          9                                                                                                       9
10         pern         10                                                                                                      10
11         pern         11                                                                                                      11
12         pern         12                                                                                                      12
13         pern         13                                                                                                      13
14         pern         14                                                                                                      14
15         pern         15                                                                                                      15
16         pern         16                                                                                                      16
17         pern         17                                                                                                      17
18         pern         18                                                                                                      18
19         pern         19                                                                                                      19
20         pern         20                                                                                                      20
21         pern         21                                                                                                      21
22         pern         22                                                                                                      22
23         pern         23                                                                                                      23
24         pern         24                                                                                                      24
25         pern         25                                                                                                      25
26         pern         26                                                                                                      26
27         pern         27                                                                                                      27
28         pern         28                                                                                                      28
29         pern         29                                                                                                      29
30         pern         30                                                                                                      30
31         pern         31                                                                                                      31
32         pern         32                                                                                                      32
33         pern         33                                                                                                      33
34         pern         34                                                                                                      34
35         pern         35                                                                                                      35
36         pern         36                                                                                                      36
37         pern         38                                                                                                      38
38         pern         42                                                                                                      42
39         pern         43                                                                                                      43
40         pern         44                                                                                                      44
41         pern         50                                                                                                      50
42         fbig          0                                                                                              No problem
43         fbig          1                        Yes: households within a large dwelling were split apart into separate dwellings
44         fbig          2                          Yes: persons within a large household were split apart into separate dwellings
45      fbig_nh          0                                                                                               Not split
46      fbig_nh         56                                                                                                      56
47      fbig_nh         57                                                                                                      57
48      fbig_nh         60                                                                                                      60
49        state         11                                                                                                Rondonia
50        state         12                                                                                                    Acre
51        state         13                                                                                                Amazonas
52        state         14                                                                                                 Roraima
53        state         15                                                                                                    Pará
54        state         16                                                                                                   Amapa
55        state         17                                                                                               Tocantins
56        state         21                                                                                                Maranhao
57        state         22                                                                                                   Piaui
58        state         23                                                                                                   Ceará
59        state         24                                                                                     Rio Grande do Norte
60        state         25                                                                                                 Paraíba
61        state         26                                                                                              Pernambuco
62        state         27                                                                                                 Alagoas
63        state         28                                                                                                 Sergipe
64        state         29                                                                                                   Bahia
65        state         31                                                                                            Minas Gerais
66        state         32                                                                                          Espirito Santo
67        state         33                                                                                          Rio de Janeiro
68        state         35                                                                                               São Paulo
69        state         41                                                                                                  Parana
70        state         42                                                                                          Santa Catarina
71        state         43                                                                                       Rio Grande do Sul
72        state         50                                                                                      Mato Grosso do Sul
73        state         51                                                                                             Mato Grosso
74        state         52                                                                                                   Goias
75        state         53                                                                                        Distrito Federal
76        geogr          1                                                                                                Northern
77        geogr          2                                                                                               Northeast
78        geogr          3                                                                                               Southeast
79        geogr          4                                                                                                Southern
80        geogr          5                                                                                                 Midwest
81        metro          0                                                                            Not in a metropolitan region
82        metro          1                                                                                                  Manaus
83        metro          2                                                                                                   Belém
