        vname                                                                     vdescription
1       cntry                                                                          Country
2        year                                                                             Year
3      sample                                                          IPUMS sample identifier
4      serial                                                          Household serial number
5       dwnum                                                                  Dwelling number
6        pern                                                   Number of persons in household
7        fbig                Dwelling created by splitting apart a large dwelling or household
8     fbig_nh                         Number of persons in large household before it was split
9       state                                                               State of residence
10      geogr                                                              Geographical region
11      metro                                                                Metropolitan area
12      urban                                                                      Urban-rural
13      typhh                                                                   Household type
14    typunit                                                              Unit classification
15      owner                                                    Household occupancy condition
16     renthh                                            Monthly rent (in Reais) in July, 2010
17    rentmin                             Monthly rent as ratio of minimum wages in July, 2010
18      walls                                                          External walls material
19      rooms                                                                  Number of rooms
20   nperroom                                                             Density dweller/room
21   nbedroom                                                               Number of bedrooms
22   nperbdrm                                                          Density dweller/bedroom
23      nbath                                            Number of bathrooms for exclusive use
24    toilets                                                Use of toilet or latrine [buraco]
25     sewage                                                        Type of sanitary sewerage
26      water                                                                     Water supply
27    watpipe                                                                      Piped water
28      trash                                                              Garbage destination
29   electric                                                               Power availability
30      meter                                    Energy meter, electricity company distributor
31      radio                                                                       Have radio
32         tv                                                                          Have TV
33     washer                                                             Have washing machine
34     refrig                                                                Have refrigerator
35   cellphon                                                                  Have cell phone
36      phone                                                                       Have phone
37   computer                                                           Have personal computer
38   internet                                             Have computers connected to Internet
39   motorcyc                                                       Motorcycle for private use
40       auto                                                              Car for private use
41     emighh                                        Any person living abroad in July 31, 2010
42   numperhh                      Number of persons living in this household in July 31, 2010
43   nheadshh                                                                  Number of heads
44    deathhh                          Deaths in the household from August, 2009 to July, 2010
45    incmohh                                           Monthly household income in July, 2010
46    incwghh                             Household income to minimum wage ratio in July, 2010
47    incpchh                                        Household income per capita in July, 2010
48    incwgpc                  Household income per capita to minimum wage ratio in July, 2010
49   hhstruct                                                              Household structure
50     qowner                                 Imputation mark in household occupancy condition
51    qrenthh                         Imputation mark in monthly rent (in reais) in July, 2010
52     qwalls                                       Imputation mark in external walls material
53     qrooms                                               Imputation mark in number of rooms
54  qnbedroom                                            Imputation mark in number of bedrooms
55     qnbath                         Imputation mark in number of bathrooms for exclusive use
56   qtoilets                             Imputation mark in use of toilet or latrine [buraco]
57    qsewage                                              Imputation mark in type of sewerage
58     qwater                                                  Imputation mark in water supply
59   qwatpipe                                                   Imputation mark in piped water
60     qtrash                                           Imputation mark in garbage destination
61  qelectric                                            Imputation mark in power availability
62     qmeter                 Imputation mark in energy meter, electricity company distributor
63     qradio                                                    Imputation mark in have radio
64        qtv                                                       Imputation mark in have TV
65    qwasher                                          Imputation mark in have washing machine
66    qrefrig                                             Imputation mark in have refrigerator
67  qcellphon                                               Imputation mark in have cell phone
68     qphone                                                    Imputation mark in have phone
69  qcomputer                                        Imputation mark in have personal computer
70  qinternet                          Imputation mark in have computers connected to internet
71  qmotorcyc                                    Imputation mark in motorcycle for private use
72      qauto                                           Imputation mark in car for private use
73    qemighh                        Imputation mark in any person living abroad in July, 2010
74  qnumperhh      Imputation mark in number of persons living in this household in July, 2010
75  qnheadshh                                               Imputation mark in number of heads
76   qdeathhh       Imputation mark in deaths in the household from August, 2009 to July, 2010
77       nmig                                                      Number of migration records
78      nmort                                                      Number of mortality records
79     pernum                                                                    Person number
80      wtper                                                                    Person weight
81     pernum                                                 Person number (within household)
82     relate                                                Relationship to head of household
83        sex                                                                              Sex
84        age                                                                              Age
85      agemo                                                                    Age in months
86    ageform                                                          Form of age declaration
87       race                                                                    Color or race
88   birthrec                                                                     Birth record
89     dissee                                                      Permanent difficulty seeing
90    dishear                                                     Permanent difficulty hearing
91     dismob                                                     Permanent difficulty walking
92    dismntl                                         Permanent mental/intellectual disability
93   bornmuni                                                        Born in this municipality
94   bornstat                                                               Born in this state
95     nation                                                                      Nationality
96     moveyr                                                             Year moved to Brazil
97        bpl                                                State or foreign country of birth
98   bplstate                                                                   State of birth
99    bplctry                                                         Foreign country of birth
100  yrsstate                                             Number of years living in this state
101   yrsmuni                                      Number of years living in this municipality
102   prevres                              Previous municipality/state or country of residence
103  prevstat                                                        Former state of residence
104  prevmuni                                                 Former municipality of residence
105  prevctry                                                      Former country of residence
106    res5yr              State/municipality or foreign country of residence in July 31, 2005
107  state5yr                                              State of residence in July 31, 2005
108   muni5yr                                       Municipality of residence in July 31, 2005
109  cntry5yr                                                 Country of residence 5 years ago
110       lit                                                               Can read and write
111    school                                                      Attending school or daycare
112  edlevel1                                                        Level of school attending
113    grade1                                                  Elementary grade/year attending
114    grade2                                                      High school grade attending
115   college                                    Completion of additional undergraduate degree
116  edattain                                              Highest level of education attended
117   edcompl                       Have you completed the highest level of education attended
118    degtyp                                                  Type of highest degree achieved
119  edlevel2                                                                  Education level
120  undergrd                                          Field of study in undergraduate studies
121   masters                                                Field of study in Master's degree
122  doctoral                                                Field of study in doctoral degree
123     edloc                             Municipality/state or country where attending school
124   edstate                                          State where attending school or daycare
125   schctry                                           Country where attending school/daycare
126    livesp                                                         Live with spouse/partner
127     sploc Number of person for spouse/partner for females living in indigenous areas or no
128     union                                                                  Nature of union
129     marst                                                                   Marital status
130   wklstwk                                      Paid work last week (for at least one hour)
131  paidaway                         Paid work last week while temporarily away from that job
132   wknopay                 Unpaid work for other resident last week (for at least one hour)
133   subsist               Worked for household subsistence last week (for at least one hour)
134     njobs                                                    Number of jobs held last week
135       occ                                    Occupation held from July 25 to July 31, 2010
136       ind                                   Industry of work from July 25 to July 31, 2010
137  classwkr                               Status in employment from July 25 to July 31, 2010
138     nemps                  Number of employees in work place from July 25 to July 31, 2010
139    socsec                     Contributed to social security from July 25 to July 31, 2010
140    paysrc                    Source of gross monthly income in main job held in July, 2010
141  incgross                              Gross monthly income in main job held in July, 2010
142    incjob                                 Main job income in Brazilian reais in July, 2010
143  incjobmw                           Main job income as ratio to minimum wage in July, 2010
144  incothjb                           Source of monthly income from other jobs in July, 2010
145  incjb2gr                              Gross monthly income from other jobs  in July, 2010
146  incjb2mw         Gross monthly income from other jobs to minimum wage ratio in July, 2010
147   incjobs                                         Gross income from all jobs in July, 2010
148  incjbsmw                   Gross income from all jobs to minimum wage ratio in July, 2010
149  inctotmo                                         Total gross monthly income in July, 2010
150  inctotmw                         Total monthly income to minimum wage ratio in July, 2010
151     inchh                                                   Household income in July, 2010
152   inchhmw                             Household income to minimum wage ratio in July, 2010
153   inchhpc                                        Household income per capita in July, 2010
