        vname     code
1       provp       10
2       provp       11
3       provp       12
4       provp       13
5       provp       24
6       provp       35
7       provp       46
8       provp       47
9       provp       48
10      provp       59
11      provp       60
12       cmap      205
13       cmap      421
14       cmap      462
15       cmap      499
16       cmap      505
17       cmap      532
18       cmap      535
19       cmap      537
20       cmap      539
21       cmap      541
22       cmap      555
23       cmap      559
24       cmap      599
25       cmap      602
26       cmap      799
27       cmap      825
28       cmap      835
29       cmap      933
30       cmap      935
31       cmap      999
32   nuhmainp        1
33   nuhmainp        2
34   nuhmainp        3
35   nuhmainp        9
36   hhclassp        1
37   hhclassp        2
38     htypep        1
39     htypep        2
40     htypep        3
41     htypep        4
42     htypep        5
43     htypep        6
44     htypep        7
45     htypep        8
46     htypep        9
47     htypep       10
48     htypep       11
49     htypep       12
50     htypep       13
51     htypep       99
52     unitsp        1
53     unitsp        2
54     unitsp        3
55     unitsp        4
56     unitsp        5
57     unitsp        6
58     unitsp        7
59     unitsp        9
60      roomp        1
61      roomp        2
62      roomp        3
63      roomp        4
64      roomp        5
65      roomp        6
66      roomp        7
67      roomp        8
68      roomp        9
69      roomp       10
70      roomp       99
71   condwelp        1
72   condwelp        2
73   condwelp        3
74   condwelp        9
75     valuep    19999
76     valuep   200000
77     valuep   999999
78     tenurp        1
79     tenurp        2
80     tenurp        9
81     rcondp        1
82     rcondp        2
83     rcondp        9
84       ompp       99
85       ompp     1100
86       ompp     9999
87    grosrtp       99
88    grosrtp     1100
89    grosrtp     9999
90     pernum        0
91     pernum        1
92    hhstatp        1
93    hhstatp        2
94    hhstatp        3
95    hhstatp        4
96    hhstatp        5
97    hhstatp        6
98    hhstatp        7
99    hhstatp        8
100   hhstatp        9
101   hhstatp       10
102   prmainp        1
103   prmainp        2
104   prmainp        9
105   efstatp        1
106   efstatp        2
107   efstatp        3
108   efstatp        4
109   efstatp        5
110   efstatp        6
111   efstatp        9
112   efsizep        1
113   efsizep        2
114   efsizep        3
115   efsizep        4
116   efsizep        5
117   efsizep        6
118   efsizep        7
119   efsizep        9
120   cfstatp        1
121   cfstatp        2
122   cfstatp        3
123   cfstatp        4
124   cfstatp        5
125   cfstatp        6
126   cfstatp        7
127   cfstatp        8
128   cfstatp        9
129   cfstatp       10
130   cfstatp       11
131   cfstatp       12
132   cfstatp       13
133   cfstatp       99
134   cfsizep        1
135   cfsizep        2
136   cfsizep        3
137   cfsizep        4
138   cfsizep        5
139   cfsizep        6
140   cfsizep        7
141   cfsizep        9
142    prescp        0
143    prescp        1
144    prescp        2
145    prescp        3
146    prescp        4
147    prescp        5
148    prescp        6
149    prescp        7
150    prescp        9
151       age        0
152       age        1
153       age        2
154       age        3
155       age        4
156       age        5
157       age        6
158       age        7
159       age        8
160       age        9
161       age       10
162       age       11
163       age       12
164       age       13
165       age       14
166       age       15
167       age       16
168       age       17
169       age       18
170       age       19
171       age       20
172       age       21
173       age       22
174       age       23
175       age       24
176       age       25
177       age       26
178       age       27
179       age       28
180       age       29
181       age       30
182       age       31
183       age       32
184       age       33
185       age       34
186       age       35
187       age       36
188       age       37
189       age       38
190       age       39
191       age       40
192       age       41
193       age       42
194       age       43
195       age       44
196       age       45
197       age       46
198       age       47
199       age       48
200       age       49
201       age       50
202       age       51
203       age       52
204       age       53
205       age       54
206       age       55
207       age       56
208       age       57
209       age       58
210       age       59
211       age       60
212       age       61
213       age       62
214       age       63
215       age       64
216       age       65
217       age       66
218       age       67
219       age       68
220       age       69
221       age       70
222       age       71
223       age       72
224       age       73
225       age       74
226       age       75
227       age       76
228       age       77
229       age       78
230       age       79
231       age       80
232       age       81
233       age       82
234       age       83
235       age       84
236       age       85
237       sex        1
238       sex        2
239   marstlp        1
240   marstlp        2
241   marstlp        3
242   marstlp        4
243   marstlp        5
244   marsthp        1
245   marsthp        2
246   marsthp        3
247   marsthp        4
248   marsthp        5
249      pobp        1
250      pobp        2
251      pobp        3
252      pobp        4
253      pobp        5
254      pobp        6
255      pobp        7
256      pobp        8
257      pobp        9
258      pobp       10
259      pobp       11
260      pobp       12
261      pobp       98
262     pobpa        1
263     pobpa        2
264     pobpa        3
265     pobpa        4
266     pobpa        5
267     pobpa        6
268     pobpa        7
269     pobpa        8
270     pobpa        9
271     pobpa       10
272     pobpa       11
273     pobpa       12
274     pobpa       13
275     pobpa       14
276     pobpa       15
277     pobpa       16
278     pobpa       17
279     pobpa       18
280     pobpa       19
281     pobpa       20
282     pobpa       21
283     pobpa       22
284     pobpa       23
285     pobpa       24
286     pobpa       25
287     pobpa       26
288     pobpa       27
289     pobpa       28
290     pobpa       29
291     pobpa       30
292     pobpa       31
293     pobpa       32
294     pobpa       33
295     pobpa       34
296     pobpa       35
297     pobpa       98
298     pobpa       99
299  pobmthrp        1
300  pobmthrp        2
301  pobmthrp        3
302  pobmthrp        4
303  pobmthrp        5
304  pobmthrp        8
305  pobmthrp        9
306  pobfthrp        1
307  pobfthrp        2
308  pobfthrp        3
309  pobfthrp        4
310  pobfthrp        5
311  pobfthrp        8
312  pobfthrp        9
313  genstpob        1
314  genstpob        2
315  genstpob        3
316  genstpob        4
317  genstpob        8
318  genstpob        9
319   citothp        1
320   citothp        2
321   citothp        3
322   citothp        4
323   citothp        8
324   citothp        9
325  citothpa        1
326  citothpa        2
327  citothpa        3
328  citothpa        4
329  citothpa        5
330  citothpa        6
331  citothpa        7
332  citothpa        8
333  citothpa        9
334  citothpa       10
335  citothpa       11
336  citothpa       12
337  citothpa       13
338  citothpa       14
339  citothpa       98
340  citothpa       99
341  citizenp        1
342  citizenp        2
343  citizenp        3
344  citizenp        8
345   immpopp        1
346   immpopp        2
347   immpopp        3
348   immpopp        9
349   yrimmig        1
350   yrimmig        2
351   yrimmig        3
352   yrimmig        4
353   yrimmig        5
354   yrimmig        6
355   yrimmig        8
356   yrimmig        9
357  yrimmiga        1
358  yrimmiga        2
359  yrimmiga        3
360  yrimmiga        4
361  yrimmiga        5
362  yrimmiga        6
363  yrimmiga        7
364  yrimmiga        8
365  yrimmiga        9
366  yrimmiga       10
367  yrimmiga       11
368  yrimmiga       12
369  yrimmiga       13
370  yrimmiga       14
371  yrimmiga       15
372  yrimmiga       16
373  yrimmiga       17
374  yrimmiga       18
375  yrimmiga       19
376  yrimmiga       20
377  yrimmiga       21
378  yrimmiga       22
379  yrimmiga       23
380  yrimmiga       24
381  yrimmiga       25
382  yrimmiga       26
383  yrimmiga       27
384  yrimmiga       28
385  yrimmiga       29
386  yrimmiga       30
387  yrimmiga       31
388  yrimmiga       32
389  yrimmiga       33
390  yrimmiga       34
391  yrimmiga       35
392  yrimmiga       36
393  yrimmiga       98
394  yrimmiga       99
395  immiagep        1
396  immiagep        2
397  immiagep        3
398  immiagep        4
399  immiagep        5
400  immiagep        6
401  immiagep        7
402  immiagep        8
403  immiagep        9
404  immiagep       10
405  immiagep       11
406  immiagep       12
407  immiagep       98
408  immiagep       99
409   visminp        1
410   visminp        2
411   visminp        3
412   visminp        4
413   visminp        5
414   visminp        9
415     absrp        1
416     absrp        2
417     absrp        3
418     absrp        4
419     absrp        5
420     absrp        6
421    reginp        1
422    reginp        2
423  bnfnmemp        1
424  bnfnmemp        2
425   ethnicr        1
426   ethnicr        2
427   ethnicr        3
428   ethnicr        4
429   ethnicr        5
430   ethnicr        6
431   ethnicr        7
432   ethnicr        8
433   ethnicr        9
434   ethnicr       10
435   ethnicr       11
436   ethnicr       12
437   ethnicr       13
438   ethnicr       14
439   ethnicr       15
440   ethnicr       16
