        vname  code
1       hhnum     1
2       hhnum     2
3       hhnum     3
4       hhnum     4
5       hhnum     5
6       hhnum     6
7       hhnum     7
8       hhnum     8
9       hhnum     9
10      hhnum    10
11      hhnum    11
12      hhnum    12
13        hhn     1
14        hhn     2
15        hhn     3
16        hhn     4
17        hhn     5
18        hhn     6
19        hhn     7
20        hhn     8
21        hhn     9
22        hhn    10
23        hhn    11
24        hhn    12
25      pernd     0
26      pernd     1
27      pernd     2
28      pernd     3
29      pernd     4
30      pernd     5
31      pernd     6
32      pernd     7
33      pernd     8
34      pernd     9
35      pernd    10
36      pernd    11
37      pernd    12
38      pernd    13
39      pernd    14
40      pernd    15
41      pernd    16
42      pernd    17
43      pernd    18
44      pernd    19
45      pernd    20
46      pernd    21
47      pernd    22
48      pernd    23
49      pernd    24
50      pernd    25
51      pernd    26
52      pernd    27
53      pernd    28
54      pernd    29
55      pernd    30
56       pern     0
57       pern     1
58       pern     2
59       pern     3
60       pern     4
61       pern     5
62       pern     6
63       pern     7
64       pern     8
65       pern     9
66       pern    10
67       pern    11
68       pern    12
69       pern    13
70       pern    14
71       pern    15
72       pern    16
73       pern    17
74       pern    18
75       pern    19
76       pern    20
77       pern    21
78       pern    22
79       pern    23
80       pern    24
81       pern    25
82       pern    26
83       pern    27
84       pern    28
85       pern    29
86       pern    30
87       fbig     0
88       fbig     1
89       fbig     2
90     region     1
91     region     2
92     region     3
93     region     4
94     region     5
95     region     6
96     region     7
97     region     8
98     region     9
99     region    10
100    region    11
101    region    12
102    region    13
103    urban2     1
104    urban2     2
105    dwtype     1
106    dwtype     2
107    dwtype     3
108    dwtype     4
109    dwtype     5
110    dwtype     6
111    dwtype     7
112    dwtype     8
113    dwtype     9
114    dwtype    10
115   occupan     1
116   occupan     2
117   occupan     3
118   occupan     9
119     owner     0
120     owner     1
121     owner     2
122     owner     3
123     owner     4
124     owner     5
125      wall     0
126      wall     1
127      wall     2
128      wall     3
129      wall     4
130      wall     5
131      wall     6
132      wall     7
133      roof     0
134      roof     1
135      roof     2
136      roof     3
137      roof     4
138      roof     5
139      roof     6
140      roof     7
141      roof     8
142      roof     9
143     floor     0
144     floor     1
145     floor     2
146     floor     3
147     floor     4
148     floor     5
149     floor     6
150     floor     7
151     floor     8
152     floor     9
153     elect     0
154     elect     1
155     elect     2
156     elect     3
157     elect     4
158    watsrc     0
159    watsrc     1
160    watsrc     2
161    watsrc     3
162    watpip     0
163    watpip     1
164    watpip     2
165    watpip     3
166    toilet     0
167    toilet     1
168    toilet     2
169    toilet     3
170    toilet     4
171    toilet     5
172    toilet     6
173  nshowers     0
174  nshowers     1
175  nshowers     2
176  nshowers     3
177  nshowers     4
178  nshowers     5
179  nshowers     6
180     rooms     0
181     rooms     1
182     rooms     2
183     rooms     3
184     rooms     4
185     rooms     5
186     rooms     6
187     rooms     7
188     rooms     8
189     rooms     9
190     rooms    10
191     rooms    99
192      hhno     0
193      hhno     1
194      hhno     2
195      hhno     3
196      hhno     4
197      hhno     5
198      hhno     6
199      hhno     7
200      hhno     8
201      hhno     9
202      hhno    10
203      hhno    11
204      hhno    12
205     rmbed     0
206     rmbed     1
207     rmbed     2
208     rmbed     3
209     rmbed     4
210     rmbed     5
211     rmbed     6
212     rmbed     7
213     rmbed     8
214     rmbed     9
215     rmbed    10
216     rmbed    98
