          vname          code
1            gq            00
2            gq            10
3            gq            20
4            gq            21
5            gq            22
6            gq            29
7            gq            99
8         unrel             0
9         unrel             1
10        unrel             2
11        unrel             3
12        unrel             4
13        unrel             5
14        unrel             6
15        unrel             7
16        unrel             8
17        unrel             9
18      regionw            11
19      regionw            12
20      regionw            13
21      regionw            14
22      regionw            15
23      regionw            21
24      regionw            22
25      regionw            23
26      regionw            24
27      regionw            31
28      regionw            32
29      regionw            33
30      regionw            34
31      regionw            35
32      regionw            41
33      regionw            42
34      regionw            43
35      regionw            44
36      regionw            51
37      regionw            52
38      regionw            53
39      regionw            54
40      geolev1        032002
41      geolev1        032006
42      geolev1        032010
43      geolev1        032014
44      geolev1        032018
45      geolev1        032022
46      geolev1        032026
47      geolev1        032030
48      geolev1        032034
49      geolev1        032038
50      geolev1        032042
51      geolev1        032046
52      geolev1        032050
53      geolev1        032054
54      geolev1        032058
55      geolev1        032062
56      geolev1        032066
57      geolev1        032070
58      geolev1        032074
59      geolev1        032078
60      geolev1        032082
61      geolev1        032086
62      geolev1        032090
63      geolev1        032094
64      geolev1        032099
65      geolev1        051011
66      geolev1        051001
67      geolev1        051002
68      geolev1        051003
69      geolev1        051004
70      geolev1        051006
71      geolev1        051005
72      geolev1        051007
73      geolev1        051008
74      geolev1        051010
75      geolev1        051009
76      geolev1        040011
77      geolev1        040012
78      geolev1        040013
79      geolev1        040021
80      geolev1        040022
81      geolev1        040031
82      geolev1        040032
83      geolev1        040033
84      geolev1        040034
85      geolev1        050010
86      geolev1        050020
87      geolev1        050030
88      geolev1        050040
89      geolev1        050050
90      geolev1        050060
91      geolev1        112001
92      geolev1        112002
93      geolev1        112003
94      geolev1        112004
95      geolev1        112006
96      geolev1        112007
97      geolev1        068001
98      geolev1        068002
99      geolev1        068003
100     geolev1        068004
101     geolev1        068005
102     geolev1        068006
103     geolev1        068007
104     geolev1        068008
105     geolev1        068009
106     geolev1        076011
107     geolev1        076012
108     geolev1        076013
109     geolev1        076014
110     geolev1        076015
111     geolev1        076016
112     geolev1        076021
113     geolev1        076022
114     geolev1        076023
115     geolev1        076024
116     geolev1        076025
117     geolev1        076026
118     geolev1        076027
119     geolev1        076028
120     geolev1        076029
121     geolev1        076031
122     geolev1        076032
123     geolev1        076033
124     geolev1        076035
125     geolev1        076041
126     geolev1        076042
127     geolev1        076043
128     geolev1        076051
129     geolev1        076052
130     geolev1        076053
131     geolev1        854003
132     geolev1        854010
133     geolev1        854012
134     geolev1        116001
135     geolev1        116002
136     geolev1        116003
137     geolev1        116004
138     geolev1        116005
139     geolev1        116006
140     geolev1        116007
141     geolev1        116008
142     geolev1        116009
143     geolev1        116010
144     geolev1        116011
145     geolev1        116012
146     geolev1        116013
147     geolev1        116014
148     geolev1        116015
149     geolev1        116016
150     geolev1        116017
151     geolev1        116018
152     geolev1        116019
153     geolev1        116020
154     geolev1        116021
155     geolev1        116022
156     geolev1        116023
157     geolev1        116024
158     geolev1        120002
159     geolev1        120003
160     geolev1        120004
161     geolev1        120005
162     geolev1        120007
163     geolev1        120008
164     geolev1        120010
165     geolev1        124010
166     geolev1        124011
167     geolev1        124012
168     geolev1        124013
169     geolev1        124024
170     geolev1        124035
171     geolev1        124046
172     geolev1        124047
173     geolev1        124048
174     geolev1        124059
175     geolev1        152002
176     geolev1        152004
177     geolev1        152007
178     geolev1        152008
179     geolev1        152009
180     geolev1        152010
181     geolev1        152012
182     geolev1        152013
183   Alameda), Metropolitana
184  Valparaiso      [Region:
185     geolev1        152099
186     geolev1        156011
187     geolev1        156012
188     geolev1        156013
189     geolev1        156014
190     geolev1        156015
191     geolev1        156021
192     geolev1        156022
193     geolev1        156023
194     geolev1        156031
195     geolev1        156032
196     geolev1        156033
197     geolev1        156034
198     geolev1        156035
199     geolev1        156036
200     geolev1        156037
201     geolev1        156041
202     geolev1        156042
203     geolev1        156043
204     geolev1        156044
205     geolev1        156045
206     geolev1        156051
207     geolev1        156052
208     geolev1        156053
209     geolev1        156054
210     geolev1        156061
211     geolev1        156062
212     geolev1        156063
213     geolev1        156064
214     geolev1        156065
215     geolev1        170005
216     geolev1        170008
217     geolev1        170011
218     geolev1        170013
219     geolev1        170015
220     geolev1        170018
221     geolev1        170019
222     geolev1        170023
223     geolev1        170025
224     geolev1        170027
225     geolev1        170041
226     geolev1        170044
227     geolev1        170047
228     geolev1        170050
229     geolev1        170052
230     geolev1        170054
231     geolev1        170066
232     geolev1        170068
233     geolev1        170073
234     geolev1        170076
235     geolev1        170081
236     geolev1        170086
237     geolev1        170088
238     geolev1        170091
239     geolev1        170095
240     geolev1        188001
241     geolev1        188002
242     geolev1        188003
243     geolev1        188004
244     geolev1        188005
245     geolev1        188006
246     geolev1        188007
247     geolev1        192001
248     geolev1        192002
249     geolev1        192003
250     geolev1        192004
251     geolev1        192005
252     geolev1        192006
253     geolev1        192007
254     geolev1        192008
255     geolev1        192009
256     geolev1        192010
257     geolev1        192011
258     geolev1        192012
259     geolev1        192013
260     geolev1        192014
261     geolev1        192099
262     geolev1        214001
263     geolev1        214002
264     geolev1        214003
265     geolev1        214004
266     geolev1        214005
267     geolev1        214006
268     geolev1        214007
269     geolev1        214008
270     geolev1        214009
271     geolev1        214010
272     geolev1        214011
273     geolev1        214013
274     geolev1        214014
275     geolev1        214015
276     geolev1        214016
277     geolev1        214017
278     geolev1        214018
279     geolev1        214019
280     geolev1        214021
281     geolev1        214022
282     geolev1        214023
283     geolev1        214024
284     geolev1        214025
285     geolev1        214026
286     geolev1        214027
287     geolev1        218001
288     geolev1        218002
289     geolev1        218003
290     geolev1        218004
291     geolev1        218005
292     geolev1        218006
293     geolev1        218007
294     geolev1        218008
295     geolev1        218009
296     geolev1        218010
297     geolev1        218011
298     geolev1        218012
299     geolev1        218013
300     geolev1        218014
301     geolev1        218016
302     geolev1        218017
303     geolev1        218018
304     geolev1        218019
305     geolev1        218021
306     geolev1        218023
307     geolev1        218099
308     geolev1        818001
309     geolev1        818002
310     geolev1        818003
311     geolev1        818004
312     geolev1        818011
313     geolev1        818012
314     geolev1        818013
315     geolev1        818014
316     geolev1        818015
317     geolev1        818016
318     geolev1        818017
319     geolev1        818018
320     geolev1        818019
321     geolev1        818021
322     geolev1        818022
323     geolev1        818023
324     geolev1        818024
325     geolev1        818025
326     geolev1        818026
327     geolev1        818027
328     geolev1        818028
329     geolev1        818029
330     geolev1        818031
331     geolev1        818032
332     geolev1        818033
333     geolev1        818034
334     geolev1        818035
335     geolev1        222001
336     geolev1        222002
337     geolev1        222003
338     geolev1        222004
339     geolev1        222005
340     geolev1        222006
341     geolev1        222007
342     geolev1        222008
343     geolev1        222009
344     geolev1        222010
345     geolev1        222011
346     geolev1        222012
347     geolev1        222013
348     geolev1        222014
349     geolev1        242001
350     geolev1        242003
351     geolev1        242006
352     geolev1        242007
353     geolev1        242008
354     geolev1        242009
355     geolev1        242011
356     geolev1        242012
357     geolev1        242014
358     geolev1        242015
359     geolev1        242099
360     geolev1        250001
361     geolev1        250002
362     geolev1        250003
363     geolev1        250004
364     geolev1        250011
365     geolev1        250021
366     geolev1        250022
367     geolev1        250023
368     geolev1        250024
369     geolev1        250025
370     geolev1        250026
371     geolev1        250031
372     geolev1        250041
373     geolev1        250042
374     geolev1        250043
375     geolev1        250052
376     geolev1        250053
377     geolev1        250054
378     geolev1        250072
379     geolev1        250073
380     geolev1        250074
381     geolev1        250082
382     geolev1        250083
383     geolev1        250091
384     geolev1        250093
385     geolev1        250094
386     geolev1        276001
387     geolev1        276002
388     geolev1        276003
389     geolev1        276004
390     geolev1        276005
391     geolev1        276006
392     geolev1        276007
393     geolev1        276008
394     geolev1        276009
395     geolev1        276010
396     geolev1        276012
397     geolev1        276013
398     geolev1        276014
399     geolev1        276015
400     geolev1        276016
401     geolev1        276017
402     geolev1        276018
403     geolev1        276099
404     geolev1        288001
405     geolev1        288002
406     geolev1        288003
407     geolev1        288004
408     geolev1        288005
409     geolev1        288006
410     geolev1        288007
411     geolev1        288008
412     geolev1        288009
413     geolev1        288010
414     geolev1        300001
415     geolev1        300003
416     geolev1        300004
417     geolev1        300005
418     geolev1        300006
419     geolev1        300007
420     geolev1        300011
421     geolev1        300012
422     geolev1        300013
423     geolev1        300014
424     geolev1        300015
425     geolev1        300016
426     geolev1        300017
427     geolev1        300021
428     geolev1        300022
429     geolev1        300023
430     geolev1        300024
431     geolev1        300031
432     geolev1        300032
433     geolev1        300033
434     geolev1        300034
435     geolev1        300041
436     geolev1        300042
437     geolev1        300043
438     geolev1        300044
439     geolev1        300051
440     geolev1        300052
441     geolev1        300053
442     geolev1        300054
443     geolev1        300055
444     geolev1        300056
445     geolev1        300057
446     geolev1        300058
447     geolev1        300059
448     geolev1        300061
449     geolev1        300062
450     geolev1        300063
451     geolev1        300064
452     geolev1        300071
453     geolev1        300072
454     geolev1        300073
455     geolev1        300081
456     geolev1        300082
457     geolev1        300083
458     geolev1        300084
459     geolev1        300085
460     geolev1        300091
461     geolev1        300092
462     geolev1        300093
463     geolev1        300094
464     geolev1        300101
465     geolev1        300102
466     geolev1        300103
467     geolev1        300104
468     geolev1        324001
469     geolev1        324002
470     geolev1        324003
471     geolev1        324004
472     geolev1        324007
473     geolev1        324008
474     geolev1        332001
475     geolev1        332002
476     geolev1        332003
477     geolev1        332004
478     geolev1        332005
479     geolev1        332006
480     geolev1        332007
481     geolev1        332008
482     geolev1        332009
483     geolev1        356001
484     geolev1        356002
485     geolev1        356003
486     geolev1        356004
487     geolev1        356006
488     geolev1        356007
489     geolev1        356008
490     geolev1        356009
491     geolev1        356010
492     geolev1        356011
493     geolev1        356012
494     geolev1        356013
495     geolev1        356014
496     geolev1        356015
497     geolev1        356016
498     geolev1        356017
499     geolev1        356018
500     geolev1        356019
501     geolev1        356021
502     geolev1        356023
503     geolev1        356024
504     geolev1        356026
505     geolev1        356027
506     geolev1        356028
507     geolev1        356029
508     geolev1        356030
509     geolev1        356031
510     geolev1        356032
511     geolev1        356033
512     geolev1        356034
513     geolev1        356035
514     geolev1        360011
515     geolev1        360012
516     geolev1        360013
517     geolev1        360014
518     geolev1        360015
519     geolev1        360016
520     geolev1        360017
521     geolev1        360018
522     geolev1        360031
523     geolev1        360032
524     geolev1        360033
525     geolev1        360034
526     geolev1        360035
527     geolev1        360051
528     geolev1        360052
529     geolev1        360053
530     geolev1        360061
531     geolev1        360062
532     geolev1        360063
533     geolev1        360064
534     geolev1        360071
535     geolev1        360072
536     geolev1        360073
537     geolev1        360081
538     geolev1        360094
539     geolev1        364000
540     geolev1        364001
541     geolev1        364002
542     geolev1        364003
543     geolev1        364004
544     geolev1        364005
545     geolev1        364006
546     geolev1        364007
547     geolev1        364008
548     geolev1        364009
549     geolev1        364010
550     geolev1        364011
551     geolev1        364012
552     geolev1        364013
553     geolev1        364014
554     geolev1        364015
555     geolev1        364016
556     geolev1        364017
557     geolev1        364018
558     geolev1        364019
559     geolev1        364020
560     geolev1        364021
561     geolev1        364022
562     geolev1        364023
563     geolev1        364024
564     geolev1        364025
565     geolev1        364026
566     geolev1        364027
567     geolev1        364028
568     geolev1        364029
569     geolev1        368011
570     geolev1        368012
571     geolev1        368013
572     geolev1        368014
573     geolev1        368015
574     geolev1        368021
575     geolev1        368022
576     geolev1        368023
577     geolev1        368024
578     geolev1        368025
579     geolev1        368026
580     geolev1        368027
581     geolev1        368028
582     geolev1        368031
583     geolev1        368032
584     geolev1        368033
585     geolev1        368034
586     geolev1        368035
587     geolev1        372001
588     geolev1        372002
589     geolev1        372003
590     geolev1        372004
591     geolev1        372005
592     geolev1        372006
593     geolev1        372007
594     geolev1        372008
595     geolev1        376001
596     geolev1        376002
597     geolev1        376003
598     geolev1        376004
599     geolev1        376005
600     geolev1        376006
