        vname  code                                                                            short
1        fbig     0                                                                       No problem
2        fbig     1 Yes: households within a large dwelling were split apart into separate dwellings
3        fbig     2   Yes: persons within a large household were split apart into separate dwellings
4         div     1                                                                          Central
5         div     2                                                                          Eastern
6         div     3                                                                         Northern
7         div     5                                                                          Western
8        prov    01                                                                               Ba
9        prov    03                                                               Bua and Cakaudrove
10       prov    06                                               Kadavu, Lau, Lomaiviti, and Rotuma
11       prov    07                                                                          Macuata
12       prov    08                                                                 Nadroga - Navosa
13       prov    09                                                                        Naitasiri
14       prov    11                                                                               Ra
15       prov    12                                                                             Rewa
16       prov    13                                                                 Serua and Namosi
17       prov    14                                                                          Tailevu
18     typedw     1                                                              One family detached
19     typedw     2                                                              One family attached
20     typedw     3                                                             2 or more apartments
21     typedw     4                                                                2 household share
22     typedw     5                                                                 Attached to shop
23     typedw     6                                                                    Lodging house
24     typedw     7                                                                            Hotel
25     typedw     8                                                                            Other
26      walls     1                                                       Concrete, brick, or cement
27      walls     2                                                                             Wood
28      walls     3                                                           Tin or corrugated iron
29      walls     4                                                       Traditional bure materials
30      walls     5                                                Makeshift or improvised materials
31      walls     6                                                                  Other materials
32   wallcond     1                                                                             Good
33   wallcond     2                                                                          Average
34   wallcond     3                                                                             Poor
35      rooms    00                                                                          0 rooms
36      rooms    01                                                                                1
37      rooms    02                                                                                2
38      rooms    03                                                                                3
39      rooms    04                                                                                4
40      rooms    05                                                                                5
41      rooms    06                                                                                6
42      rooms    07                                                                                7
43      rooms    08                                                                                8
44      rooms    09                                                                                9
45      rooms    10                                                                               10
46      rooms    11                                                                               11
47      rooms    12                                                                              12+
48     watsup     1                                                                          Metered
49     watsup     2                                                                   Communal stand
50     watsup     3                                                                         Rooftank
51     watsup     4                                                                             Well
52     watsup     5                                                                   River or creek
53     watsup     6                        FSC or EGM (Fiji Sugar Corporation or Emperor Gold Mines)
54     watdry     1                                                                            Never
55     watdry     2                                                                        Sometimes
56     watdry     3                                                                            Often
57   electric     1                                                       Fiji electricity authority
58   electric     2                                                           Fiji sugar corporation
59   electric     3                                                               Vatukoula goldmine
60   electric     4                                                          Public works department
61   electric     5                                                                   Village diesel
62   electric     6                                                                    Village hydro
63   electric     7                                                                       Home solar
64   electric     8                                                                        Own plant
65   electric     9                                                                             None
66   lighting     1                                                                      Electricity
67   lighting     2                                                                    Pressure lamp
68   lighting     3                                                                        Wick lamp
69   lighting     4                                                                            Other
70   fuelcook     1                                                                      Electricity
71   fuelcook     2                                                             LPG (Fiji gas, etc.)
72   fuelcook     3                                                                         Kerosene
73   fuelcook     4                                                                       Wood stove
74   fuelcook     5                                                                  Wood, open fire
75   fuelcook     6                                                                           Biogas
76   fuelcook     7                                                                            Other
77     toilet     1                                                                 Flush, exclusive
78     toilet     2                                                                    Flush, shared
79     toilet     3                                                             Waterseal, exclusive
80     toilet     4                                                                 Waterseal, share
81     toilet     5                                                               Latrine, exclusive
82     toilet     6                                                                  Latrine, shared
83     toilet     7                                                                             None
84     toilet     8                                                                            Other
85     tenure     1                                                                              Own
86     tenure     2                                                                     Rent private
87     tenure     3                                                                      Rent public
88     tenure     4                                                                Occupy government
89     tenure     5                                                                  Occupy employer
90     tenure     6                                                                        Caretaker
91     tenure     7                                                                            Other
92    landown     1                                                                         Freehold
93    landown     2                                                                Leased from state
94    landown     3                                                                Leased  from NLTB
95    landown     4                         Occupy without legal arrangement, state or freehold land
96    landown     5                           Occupy native land with formal or informal arrangement
97    landown     6                                      Occupy through a traditional village tenure
98    landown     7                                                                            Other
99     hhshop     0                                                                               No
100    hhshop     1                                                                              Yes
101    hhsubs     0                                                                               No
102    hhsubs     1                                                                              Yes
103    hhprod     0                                                                               No
104    hhprod     1                                                                              Yes
105    hhgood     0                                                                               No
106    hhgood     1                                                                              Yes
107    hhtech     0                                                                               No
108    hhtech     1                                                                              Yes
109    hhprof     0                                                                               No
110    hhprof     1                                                                              Yes
111    hhflat     0                                                                               No
112    hhflat     1                                                                              Yes
113    hhcomm     0                                                                               No
114    hhcomm     1                                                                              Yes
115    hhnone     0                                                                               No
116    hhnone     1                                                                              Yes
117     hhoth     0                                                                               No
118     hhoth     1                                                                              Yes
119  wastgovt     0                                                                               No
120  wastgovt     1                                                                              Yes
121  wastbury     0                                                                               No
122  wastbury     1                                                                              Yes
123   wastriv     0                                                                               No
124   wastriv     1                                                                              Yes
125   wastsea     0                                                                               No
126   wastsea     1                                                                              Yes
127  wastbkyd     0                                                                               No
128  wastbkyd     1                                                                              Yes
129   wastoth     0                                                                               No
130   wastoth     1                                                                              Yes
131     autos     0                                                                             None
132     autos     1                                                                                1
133     autos     2                                                                                2
134     autos     3                                                                                3
135     autos     4                                                                               4+
136     truck     0                                                                             None
137     truck     1                                                                                1
138     truck     2                                                                                2
139     truck     3                                                                               3+
140     motor     0                                                                             None
141     motor     1                                                                                1
142     motor     2                                                                                2
143     motor     3                                                                               3+
144   generat     0                                                                             None
145   generat     1                                                                                1
146   generat     2                                                                                2
147   generat     3                                                                               3+
148    cutter     0                                                                             None
149    cutter     1                                                                                1
150    cutter     2                                                                               2+
151     solar     0                                                                             None
152     solar     1                                                                                1
153     solar     2                                                                               2+
154   watpump     0                                                                             None
155   watpump     1                                                                                1
156   watpump     2                                                                               2+
157    refrig     0                                                                             None
158    refrig     1                                                                                1
159    refrig     2                                                                                2
160    refrig     3                                                                                3
161    washer     0                                                                             None
162    washer     1                                                                                1
163    washer     2                                                                               2+
164     dryer     0                                                                             None
165     dryer     1                                                                                1
166     dryer     2                                                                               2+
167     stove     0                                                                             None
168     stove     1                                                                                1
169     stove     2                                                                                2
170     stove     3                                                                                3
171  watheatr     0                                                                             None
172  watheatr     1                                                                                1
173  watheatr     2                                                                               2+
174    aircon     0                                                                             None
175    aircon     1                                                                                1
176    aircon     2                                                                                2
177    aircon     3                                                                                3
178    aircon     4                                                                               4+
179     radio     0                                                                             None
180     radio     1                                                                                1
181     radio     2                                                                                2
182     radio     3                                                                                3
183     radio     4                                                                               4+
184        tv     0                                                                             None
185        tv     1                                                                                1
186        tv     2                                                                                2
187        tv     3                                                                                3
188        tv     4                                                                               4+
189     video     0                                                                             None
190     video     1                                                                                1
191     video     2                                                                                2
192     video     3                                                                                3
193     video     4                                                                               4+
194   skyplus     0                                                                             None
195   skyplus     1                                                                        1 or more
196    skypac     0                                                                             None
197    skypac     1                                                                                1
198    skypac     2                                                                               2+
199     phone     0                                                                             None
200     phone     1                                                                                1
201     phone     2                                                                               2+
202      cell     0                                                                             None
203      cell     1                                                                                1
204      cell     2                                                                                2
205      cell     3                                                                                3
206      cell     4                                                                                4
207      cell     5                                                                                5
208      cell     6                                                                                6
209      cell     7                                                                                7
210      cell     8                                                                                8
211      cell     9                                                                                9
212  computer     0                                                                             None
213  computer     1                                                                                1
214  computer     2                                                                                2
215  computer     3                                                                               3+
216  internet     0                                                                             None
217  internet     1                                                                                1
218  internet     2                                                                                2
219  savbulbs     0                                                                             None
220  savbulbs     1                                                                                1
221  savbulbs     2                                                                                2
222  savbulbs     3                                                                                3
223  savbulbs     4                                                                                4
224  savbulbs     5                                                                                5
225  savbulbs     6                                                                                6
226  savbulbs     7                                                                                7
227  savbulbs     8                                                                                8
228  savbulbs     9                                                                                9
229      cows    00                                                                             None
230      cows    01                                                                                1
231      cows    02                                                                                2
232      cows    03                                                                                3
233      cows    04                                                                                4
234      cows    05                                                                                5
235      cows    06                                                                                6
236      cows    07                                                                                7
237      cows    08                                                                                8
238      cows    09                                                                                9
239      cows    10                                                                              10+
240      pigs    00                                                                             None
241      pigs    01                                                                                1
242      pigs    02                                                                                2
243      pigs    03                                                                                3
244      pigs    04                                                                                4
245      pigs    05                                                                                5
246      pigs    06                                                                                6
247      pigs    07                                                                                7
248      pigs    08                                                                                8
249      pigs    09                                                                                9
250      pigs    10                                                                               10
251      pigs    11                                                                               11
252      pigs    12                                                                               12
253      pigs    13                                                                               13
254      pigs    14                                                                               14
255      pigs    15                                                                              15+
256     goats    00                                                                             None
257     goats    01                                                                                1
258     goats    02                                                                                2
259     goats    03                                                                                3
260     goats    04                                                                                4
261     goats    05                                                                                5
262     goats    06                                                                                6
263     goats    07                                                                                7
264     goats    08                                                                                8
265     goats    09                                                                                9
266     goats    10                                                                               10
267     goats    11                                                                               11
268     goats    12                                                                              12+
269    horses     0                                                                             None
270    horses     1                                                                                1
271    horses     2                                                                                2
272    horses     3                                                                                3
273    horses     4                                                                                4
274    horses     5                                                                                5
275    horses     6                                                                                6
276    horses     7                                                                               7+
277   poultry    00                                                                             None
278   poultry    01                                                                                1
279   poultry    02                                                                                2
280   poultry    03                                                                                3
281   poultry    04                                                                                4
282   poultry    05                                                                                5
283   poultry    06                                                                                6
284   poultry    07                                                                                7
285   poultry    08                                                                                8
286   poultry    09                                                                                9
287   poultry    10                                                                               10
288   poultry    11                                                                               11
289   poultry    12                                                                               12
290   poultry    13                                                                               13
291   poultry    14                                                                               14
292   poultry    15                                                                               15
293   poultry    16                                                                               16
294   poultry    17                                                                               17
295   poultry    18                                                                               18
296   poultry    19                                                                               19
297   poultry    20                                                                              20+
298      dogs    00                                                                             None
299      dogs    01                                                                                1
300      dogs    02                                                                                2
301      dogs    03                                                                                3
302      dogs    04                                                                                4
303      dogs    05                                                                                5
304      dogs    06                                                                                6
305      dogs    07                                                                                7
306      dogs    08                                                                                8
307      dogs    09                                                                                9
308      dogs    10                                                                              10+
309      cats     0                                                                             None
310      cats     1                                                                                1
311      cats     2                                                                                2
312      cats     3                                                                                3
313      cats     4                                                                                4
314      cats     5                                                                                5
315      cats     6                                                                               6+
316   famtype     1                                                 Married couple family, head male
317   famtype     3                                                          Other family, head male
318   famtype     5                                                  Non-family household, head male
319    hhtype     1                                                                   Nuclear family
320    hhtype     2                                                                  Extended family
321    remitt     1                                                                              Yes
