      vname                                                      vdescription
1     cntry                                                           Country
2      year                                                              Year
3    sample                                           IPUMS sample identifier
4    serial                                           Household serial number
5     dwnum                                                   Dwelling number
6      pern                                    Number of persons in household
7      fbig Dwelling created by splitting apart a large dwelling or household
8   regionn                                                    Natural region
9    region                                             Administrative region
10  prefect                                                        Prefecture
11    urban                                                       Urban-rural
12   hhtype                                                    Household type
13     pnmp                                   Number of male present resident
14     pnma                                   Number of male absent residents
15     pnmv                                           Number of male visitors
16     pnfp                                Number of female present residents
17     pnfa                                 Number of female absent residents
18     pnfv                                         Number of female visitors
19   tenure                                                  Occupancy status
20   watsup                                                      Water supply
21    light                                                     Lighting type
22   fuelck                                                    Cooking energy
23   toilet                                                       Toilet type
24  garbage                                                  Garbage disposal
25 wastewat                                              Waste water disposal
26   sewage                                                   Sewage disposal
27    rooms                                                   Number of rooms
28     sexd                                               Sex of the deceased
29     aged                                               Age of the deceased
30   pernum                                                     Person number
31    wtper                                                     Person weight
32 resident                               Residence status: de facto, de jure
33   pernum                                  Person number (within household)
34  pernumo                                                     Person number
35   relate                                    Relationship to household head
36      sex                                                               Sex
37    resid                                                   Resident status
38   birmon                                                    Month of birth
39    biryr                                                     Year of birth
40   ageraw                                                         Age (raw)
41      bpl                                    Prefecture or country of birth
42   nation                                                       Nationality
43    relig                                                          Religion
44    disab                                                        Disability
45   resdur                                             Duration of residence
46  resprev                       Previous prefecture or country of residence
47      lit                                             Literacy and language
48   edlev2                                        Education, level completed
49    grade                           Education, grade completed within level
50  edattan                                            Educational attainment
51  empstat                                          Economic activity status
52      occ                                                        Occupation
53  classwk                                              Status in employment
54    marst                                                    Marital status
55  chbornm                                 Number of male children ever born
56  chbornf                               Number of female children ever born
57  chsurvm                       Number of surviving male children ever born
58  chsurvf                     Number of surviving female children ever born
59   chb12m                    Number of male children born in last 12 months
60   chb12f                  Number of female children born in last 12 months
61      age                                                               Age
