          vname  code                                                                                           short
1         hhnum    01                                                                                               1
2         hhnum    02                                                                                               2
3         hhnum    03                                                                                               3
4         hhnum    04                                                                                               4
5         hhnum    05                                                                                               5
6         hhnum    06                                                                                               6
7         hhnum    07                                                                                               7
8         hhnum    08                                                                                               8
9         hhnum    09                                                                                               9
10        hhnum    10                                                                                              10
11        hhnum    11                                                                                              11
12        hhnum    12                                                                                              12
13        hhnum    13                                                                                              13
14          hhn    01                                                                                               1
15          hhn    02                                                                                               2
16          hhn    03                                                                                               3
17          hhn    04                                                                                               4
18          hhn    05                                                                                               5
19          hhn    06                                                                                               6
20          hhn    07                                                                                               7
21          hhn    08                                                                                               8
22          hhn    09                                                                                               9
23          hhn    13                                                                                              13
24        pernd    01                                                                                               1
25        pernd    02                                                                                               2
26        pernd    03                                                                                               3
27        pernd    04                                                                                               4
28        pernd    05                                                                                               5
29        pernd    06                                                                                               6
30        pernd    07                                                                                               7
31        pernd    08                                                                                               8
32        pernd    09                                                                                               9
33        pernd    10                                                                                              10
34        pernd    11                                                                                              11
35        pernd    12                                                                                              12
36        pernd    13                                                                                              13
37        pernd    14                                                                                              14
38        pernd    15                                                                                              15
39        pernd    16                                                                                              16
40        pernd    17                                                                                              17
41        pernd    18                                                                                              18
42        pernd    19                                                                                              19
43        pernd    20                                                                                              20
44        pernd    21                                                                                              21
45        pernd    22                                                                                              22
46        pernd    23                                                                                              23
47        pernd    24                                                                                              24
48        pernd    25                                                                                              25
49        pernd    26                                                                                              26
50        pernd    27                                                                                              27
51        pernd    28                                                                                              28
52         pern    01                                                                                               1
53         pern    02                                                                                               2
54         pern    03                                                                                               3
55         pern    04                                                                                               4
56         pern    05                                                                                               5
57         pern    06                                                                                               6
58         pern    07                                                                                               7
59         pern    08                                                                                               8
60         pern    09                                                                                               9
61         pern    10                                                                                              10
62         pern    11                                                                                              11
63         pern    12                                                                                              12
64         pern    13                                                                                              13
65         pern    14                                                                                              14
66         pern    15                                                                                              15
67         pern    16                                                                                              16
68         pern    17                                                                                              17
69         pern    18                                                                                              18
70         pern    19                                                                                              19
71         pern    20                                                                                              20
72         pern    21                                                                                              21
73         pern    22                                                                                              22
74         pern    23                                                                                              23
75         pern    24                                                                                              24
76         pern    25                                                                                              25
77         pern    27                                                                                              27
78    structnum     1                                                                                               1
79    structnum     2                                                                                               2
80    structnum     3                                                                                               3
81    structnum     4                                                                                               4
82    structnum     5                                                                                               5
83    structnum     6                                                                                               6
84    structnum     7                                                                                               7
85      restype     1                                                                 Buildings with one housing unit
86      restype     2                                                       Buildings with more than one housing unit
87      restype     3                                                                           Institutional housing
88      restype     4                                                                                          Hostel
89      restype     6                                                                 Unfinished residential building
90      restype     8                                                                                 Other buildings
91      restype     9                                                                                         Unknown
92      stories     1                                                                                    Single story
93      stories     2                                                                                       Two story
94      stories     3                                                                                  3 to 5 stories
95      stories     4                                                                                  6 to 9 stories
