         vname code
1        hhnum   01
2        hhnum   02
3        hhnum   03
4        hhnum   04
5        hhnum   05
6        hhnum   06
7        hhnum   07
8        hhnum   08
9        hhnum   09
10       hhnum   10
11       hhnum   11
12         hhn   01
13         hhn   02
14         hhn   03
15         hhn   04
16         hhn   05
17         hhn   06
18         hhn   07
19         hhn   08
20         hhn   09
21         hhn   11
22       pernd   00
23       pernd   01
24       pernd   02
25       pernd   03
26       pernd   04
27       pernd   05
28       pernd   06
29       pernd   07
30       pernd   08
31       pernd   09
32       pernd   10
33       pernd   11
34       pernd   12
35       pernd   13
36       pernd   14
37       pernd   15
38       pernd   16
39       pernd   17
40       pernd   18
41       pernd   19
42       pernd   20
43       pernd   21
44       pernd   22
45       pernd   23
46       pernd   24
47       pernd   25
48       pernd   26
49       pernd   27
50       pernd   28
51       pernd   29
52       pernd   30
53        pern   00
54        pern   01
55        pern   02
56        pern   03
57        pern   04
58        pern   05
59        pern   06
60        pern   07
61        pern   08
62        pern   09
63        pern   10
64        pern   11
65        pern   12
66        pern   13
67        pern   14
68        pern   15
69        pern   16
70        pern   17
71        pern   18
72        pern   19
73        pern   20
74        pern   21
75        pern   22
76        pern   23
77        pern   24
78        pern   25
79        pern   26
80        pern   27
81        pern   28
82        pern   29
83        pern   30
84        fbig    0
85        fbig    1
86        fbig    2
87        dept   05
88        dept   10
89        dept   20
90        dept   25
91        dept   30
92        dept   35
93        dept   40
94        dept   50
95        dept   55
96        dept   60
97        dept   65
98        dept   70
99        dept   75
100       dept   80
101       dept   85
102       dept   91
103       dept   93
104       muni 0505
105       muni 0515
106       muni 0545
107       muni 0555
108       muni 0599
109       muni 1005
110       muni 1010
111       muni 1012
112       muni 1015
113       muni 1025
114       muni 1035
115       muni 1099
116       muni 2005
117       muni 2099
118       muni 2505
119       muni 2510
120       muni 2515
121       muni 2525
122       muni 2599
123       muni 3025
124       muni 3035
125       muni 3040
126       muni 3045
127       muni 3055
128       muni 3060
129       muni 3099
130       muni 3510
131       muni 3525
132       muni 3530
133       muni 3540
134       muni 3545
135       muni 3550
136       muni 3599
137       muni 4005
138       muni 4010
139       muni 4015
140       muni 4025
141       muni 4030
142       muni 4035
143       muni 4040
144       muni 4065
145       muni 4099
146       muni 5010
147       muni 5015
148       muni 5025
149       muni 5030
150       muni 5099
151       muni 5510
152       muni 5515
153       muni 5520
154       muni 5522
155       muni 5525
156       muni 5530
157       muni 5535
158       muni 5599
159       muni 6005
160       muni 6010
161       muni 6020
162       muni 6025
163       muni 6099
164       muni 6510
165       muni 6505
166       muni 6599
167       muni 7015
168       muni 7020
169       muni 7099
170       muni 7505
171       muni 7510
172       muni 7520
173       muni 7599
174       muni 8005
175       muni 8040
176       muni 8099
177       muni 8520
178       muni 8525
179       muni 8599
180       muni 9105
181       muni 9110
182       muni 9115
183       muni 9125
184       muni 9127
185       muni 9130
186       muni 9199
187       muni 9305
188       muni 9310
189       muni 9320
190       muni 9325
191       muni 9340
192       muni 9345
193       muni 9399
194      urban    1
195      urban    2
196      urban    3
197     dwtype   01
198     dwtype   02
199     dwtype   03
200     dwtype   04
201     dwtype   05
202     dwtype   06
203     dwtype   07
204     dwtype   08
205     dwtype   09
206     dwtype   10
207     dwtype   13
208     dwtype   14
209     dwtype   15
210     dwtype   16
211     dwtype   18
212     dwtype   19
213    occstat    0
214    occstat    1
215    occstat    2
216    occstat    3
217    occstat    4
218    occstat    5
219    occstat    6
220    occstat    7
221    occstat    8
222    occstat    9
223      walls   01
224      walls   02
225      walls   03
226      walls   04
227      walls   05
228      walls   07
229      walls   08
230      walls   09
231      walls   10
232      walls   11
233      walls   12
234      walls   13
235      walls   14
236      walls   15
237      walls   16
238      walls   98
239      walls   99
240       roof    1
241       roof    2
242       roof    3
243       roof    4
244       roof    5
245       roof    6
246       roof    7
247       roof    8
248       roof    9
249      floor    1
250      floor    2
251      floor    3
252      floor    4
253      floor    5
254      floor    6
255      floor    8
256      floor    9
257   lighting   01
258   lighting   02
259   lighting   03
260   lighting   04
261   lighting   05
262   lighting   06
263   lighting   07
264   lighting   08
265   lighting   09
266   lighting   98
267   lighting   99
268     watsup   01
269     watsup   02
270     watsup   03
271     watsup   04
272     watsup   05
273     watsup   06
274     watsup   07
275     watsup   08
276     watsup   09
277     watsup   10
278     watsup   98
279     watsup   99
280   ownershp    1
