      vname                                                      vdescription
1     cntry                                                           Country
2      year                                                              Year
3    sample                                           IPUMS sample identifier
4    serial                                           Household serial number
5     dwnum                                                   Dwelling number
6      pern                                    Number of persons in household
7      fbig Dwelling created by splitting apart a large dwelling or household
8      mhsp                              Multi-head household was split apart
9      prov                                                          Province
10      div                                                          Division
11     dist                                                          District
12    urban                                                       Urban/rural
13    rooms                                                   Number of rooms
14   tenure                                                            Tenure
15   conper                                    Initial period of construction
16     wall                                                     Wall material
17     roof                                                     Roof material
18  watsrci                            Source of drinking water, inside house
19  watscro                           Source of drinking water, outside house
20    light                                                   Source of light
21   fuelck                                                      Cooking fuel
22    kitch                                                           Kitchen
23     bath                                                          Bathroom
24   toilet                                                            Toilet
25       tv                                         Source of information: TV
26    radio                                      Source of information: radio
27    newsp                                  Source of information: newspaper
28   pernum                                                     Person number
29    wtper                                                     Person weight
30 resident                               Residence status: de facto, de jure
31   pernum                                  Person number (within household)
32   relate                                                      Relationship
33   absent                                                Residential status
34      sex                                                               Sex
35      age                                                               Age
36    marst                                                    Marital status
37   nation                                                       Nationality
38    relig                                                          Religion
39     lang                                                          Language
40      lit                                                          Literacy
41    edlev                                                Level of education
42   idcard                                                  National ID card
