        vname code
1        pern    1
2        pern    2
3        pern    3
4        pern    4
5        pern    5
6        pern    6
7        pern    7
8        pern    8
9        pern    9
10       pern   10
11       pern   11
12       pern   12
13       pern   13
14       pern   14
15       pern   15
16       pern   16
17       pern   17
18       pern   18
19       pern   19
20       pern   20
21       pern   21
22       pern   22
23       pern   23
24       pern   24
25       pern   25
26       pern   26
27       pern   27
28       pern   28
29       pern   29
30       pern   30
31       fbig    0
32       fbig    1
33       fbig    2
34       prov    1
35       prov    2
36       prov    3
37       prov    4
38       prov    5
39       prov    6
40       prov    7
41       prov    8
42       prov    9
43       prov   10
44       prov   11
45       prov   12
46       town  101
47       town  102
48       town  103
49       town  104
50       town  105
51       town  106
52       town  107
53       town  108
54       town  201
55       town  202
56       town  203
57       town  204
58       town  205
59       town  206
60       town  207
61       town  208
62       town  209
63       town  210
64       town  301
65       town  302
66       town  303
67       town  304
68       town  305
69       town  306
70       town  307
71       town  308
72       town  309
73       town  310
74       town  401
75       town  402
76       town  403
77       town  404
78       town  405
79       town  406
80       town  407
81       town  408
82       town  409
83       town  410
84       town  501
85       town  502
86       town  503
87       town  504
88       town  505
89       town  506
90       town  507
91       town  601
92       town  602
93       town  603
94       town  604
95       town  605
96       town  606
97       town  607
98       town  701
99       town  702
100      town  703
101      town  704
102      town  705
103      town  706
104      town  801
105      town  802
106      town  803
107      town  804
108      town  805
109      town  806
110      town  807
111      town  808
112      town  809
113      town  810
114      town  901
115      town  902
116      town  903
117      town  904
118      town  905
119      town  906
120      town  907
121      town  908
122      town  909
123      town  910
124      town  911
125      town 1001
126      town 1002
127      town 1003
128      town 1004
129      town 1005
130      town 1006
131      town 1007
132      town 1008
133      town 1009
134      town 1102
135      town 1103
136      town 1104
137      town 1105
138      town 1106
139      town 1107
140      town 1108
141      town 1201
142      town 1202
143      town 1203
144      town 1204
145      town 1205
146      town 1206
147      town 1207
148      town 1208
149      town 1209
150      town 1210
151     urban    1
152     urban    2
153    dwtype  100
154    dwtype  201
155    dwtype  203
156    dwtype  204
157    dwtype  205
158    dwtype  206
159    dwtype  207
160    dwtype  208
161    dwtype  211
162    dwtype  212
163    dwtype  214
164    dwtype  215
165    dwtype  999
166    resabm    0
167    resabm    1
168    resabm    2
169    resabm    3
170    resabm    4
171    resabf    0
172    resabf    1
173    resabf    2
174    resabf    3
175    resabf    4
176    resabf    5
177     resab    0
178     resab    1
179     resab    2
180     resab    3
181     resab    4
182     resab    5
183     resab    6
184     resab    7
185     resab    8
186    settty    1
187    settty    2
188    settty    3
189    settty    4
190    settty    5
191    settty    6
192    settty    8
193    settty    9
194   dwtype2    1
195   dwtype2    2
196   dwtype2    3
197   dwtype2    4
198   dwtype2    5
199   dwtype2    8
200   dwtype2    9
201      roof    1
202      roof    2
203      roof    3
204      roof    4
205      roof    5
206      roof    6
207      roof    7
208      roof    8
209      roof    9
210     walls    1
211     walls    2
212     walls    3
213     walls    4
214     walls    5
215     walls    6
216     walls    7
217     walls    8
218     walls    9
219     walls   98
220     walls   99
221     floor    1
222     floor    2
223     floor    3
224     floor    4
225     floor    5
226     floor    6
227     floor    8
228     floor    9
229     rooms    1
230     rooms    2
231     rooms    3
232     rooms    4
233     rooms    5
234     rooms    6
235     rooms    7
236     rooms    8
237     rooms    9
238     rooms   10
239     rooms   11
240     rooms   98
241     rooms   99
242    watsrc    1
243    watsrc    2
244    watsrc    3
245    watsrc    4
246    watsrc    5
247    watsrc    6
248    watsrc    7
249    watsrc    8
250    watsrc    9
251    watsrc   98
252    watsrc   99
253     light    1
254     light    2
255     light    3
256     light    4
257     light    5
258     light    6
259     light    7
260     light    8
261     light    9
262     light   99
263    fuelck    1
264    fuelck    2
265    fuelck    3
266    fuelck    4
267    fuelck    5
268    fuelck    6
269    fuelck    7
270    fuelck    8
271    fuelck    9
272    toilet    1
273    toilet    2
274    toilet    3
275    toilet    4
276    toilet    5
277    toilet    8
278    toilet    9
279   garbage    1
280   garbage    2
281   garbage    3
282   garbage    4
283   garbage    5
284   garbage    6
285   garbage    7
286   garbage    8
287   garbage    9
288    tenure    1
289    tenure    2
290    tenure    3
291    tenure    4
292    tenure    5
293    tenure    6
294    tenure    7
295    tenure    8
296    tenure    9
297   radiotv    1
298   radiotv    2
299   radiotv    3
300   radiotv    4
301   radiotv    8
302   radiotv    9
303     phone    1
304     phone    2
305     phone    3
306     phone    4
307     phone    8
308     phone    9
309  computer    1
310  computer    2
311  computer    3
312  computer    8
313  computer    9
314   vehicle    0
315   vehicle    1
316   vehicle    2
317   vehicle    3
318   vehicle    8
319   vehicle    9
320    motocy    0
321    motocy    1
322    motocy    2
323    motocy    8
324    motocy    9
325      bike    0
326      bike    1
327      bike    2
328      bike    3
329      bike    4
330      bike    5
331      bike    6
332      bike    7
333      bike    8
334      bike    9
335      bike   10
336      bike   11
337      bike   98
338      bike   99
339    dead12    1
340    dead12    2
341    dead12    9
342   dead12n    1
343   dead12n    2
344   dead12n    3
345   dead12n   98
346   dead12n   99
347        gq    1
348        gq    2
349    gqtype    1
350    gqtype    3
351    gqtype    4
352    gqtype    5
353    gqtype    6
354    gqtype    7
355    gqtype    8
356    gqtype   11
357    gqtype   12
358    gqtype   14
359    gqtype   15
360    gqtype   98
361    gqtype   99
362  dead12nr    0
363  dead12nr    1
364  dead12nr    2
365  dead12nr    3
366  dead12nr    4
367  dead12nr    9
368  resident    1
369  resident    2
370  resident    3
371  resident    4
372  resident    9
373    pernum    0
374    pernum    1
375    pernum    2
376    pernum    3
377    pernum    4
378    pernum    5
379    pernum    6
380    pernum    7
381    pernum    8
382    pernum    9
383    pernum   10
384    pernum   11
385    pernum   12
386    pernum   13
387    pernum   14
388    pernum   15
389    pernum   16
390    pernum   17
391    pernum   18
392    pernum   19
393    pernum   20
394    pernum   21
395    pernum   22
396    pernum   23
397    pernum   24
398    pernum   25
399    pernum   26
400    pernum   27
401    pernum   28
402    pernum   29
403    pernum   30
404    relate    1
405    relate    2
406    relate    3
407    relate    4
408    relate    5
409    relate    6
410    relate    7
411    relate    8
412    relate    9
413    relate   98
414    relate   99
415     resid    1
416     resid    2
417     resid    3
418     resid    4
419       sex    1
420       sex    2
421     birmo    1
422     birmo    2
423     birmo    3
424     birmo    4
425     birmo    5
426     birmo    6
427     birmo    7
428     birmo    8
429     birmo    9
430     birmo   10
431     birmo   11
432     birmo   12
433     birmo   97
434     birmo   98
435     birmo   99
436     biryr 1900
437     biryr 1901
438     biryr 1902
439     biryr 1903
440     biryr 1904
441     biryr 1905
442     biryr 1906
443     biryr 1907
444     biryr 1908
445     biryr 1909
446     biryr 1910
447     biryr 1911
448     biryr 1912
449     biryr 1913
450     biryr 1914
451     biryr 1915
452     biryr 1916
453     biryr 1917
454     biryr 1918
455     biryr 1919
456     biryr 1920
457     biryr 1921
458     biryr 1922
459     biryr 1923
460     biryr 1924
461     biryr 1925
462     biryr 1926
463     biryr 1927
464     biryr 1928
465     biryr 1929
466     biryr 1930
467     biryr 1931
468     biryr 1932
469     biryr 1933
470     biryr 1934
471     biryr 1935
472     biryr 1936
473     biryr 1937
474     biryr 1938
475     biryr 1939
476     biryr 1940
477     biryr 1941
478     biryr 1942
479     biryr 1943
480     biryr 1944
481     biryr 1945
482     biryr 1946
483     biryr 1947
484     biryr 1948
485     biryr 1949
486     biryr 1950
487     biryr 1951
488     biryr 1952
489     biryr 1953
490     biryr 1954
491     biryr 1955
492     biryr 1956
493     biryr 1957
494     biryr 1958
495     biryr 1959
496     biryr 1960
497     biryr 1961
498     biryr 1962
499     biryr 1963
500     biryr 1964
501     biryr 1965
502     biryr 1966
503     biryr 1967
504     biryr 1968
505     biryr 1969
506     biryr 1970
507     biryr 1971
508     biryr 1972
509     biryr 1973
510     biryr 1974
511     biryr 1975
512     biryr 1976
513     biryr 1977
514     biryr 1978
515     biryr 1979
516     biryr 1980
517     biryr 1981
518     biryr 1982
519     biryr 1983
520     biryr 1984
521     biryr 1985
522     biryr 1986
523     biryr 1987
524     biryr 1988
525     biryr 1989
526     biryr 1990
527     biryr 1991
528     biryr 1992
529     biryr 1993
530     biryr 1994
531     biryr 1995
532     biryr 1996
533     biryr 1997
534     biryr 1998
535     biryr 1999
536     biryr 2000
537     biryr 2001
538     biryr 2002
539     biryr 9998
540     biryr 9999
541       age    0
542       age    1
543       age    2
544       age    3
545       age    4
546       age    5
547       age    6
548       age    7
549       age    8
550       age    9
551       age   10
552       age   11
553       age   12
554       age   13
555       age   14
556       age   15
557       age   16
558       age   17
559       age   18
560       age   19
561       age   20
562       age   21
563       age   22
564       age   23
565       age   24
566       age   25
567       age   26
568       age   27
569       age   28
570       age   29
571       age   30
572       age   31
573       age   32
574       age   33
575       age   34
576       age   35
577       age   36
578       age   37
579       age   38
580       age   39
581       age   40
582       age   41
583       age   42
584       age   43
585       age   44
586       age   45
587       age   46
588       age   47
589       age   48
590       age   49
591       age   50
592       age   51
593       age   52
594       age   53
595       age   54
596       age   55
597       age   56
598       age   57
599       age   58
600       age   59
601       age   60
602       age   61
603       age   62
604       age   63
605       age   64
606       age   65
607       age   66
608       age   67
609       age   68
610       age   69
611       age   70
612       age   71
613       age   72
614       age   73
615       age   74
616       age   75
617       age   76
618       age   77
619       age   78
620       age   79
621       age   80
622       age   81
623       age   82
624       age   83
625       age   84
626       age   85
627       age   86
628       age   87
629       age   88
630       age   89
631       age   90
632       age   91
633       age   92
634       age   93
635       age   94
636       age   95
637       age   96
638       age   97
639       age   98
640       age   99
641       age  100
642       age  101
643       age  102
644       age  103
645       age  104
646       age  105
647       age  106
648       age  107
649       age  108
650       age  109
651       age  110
652    nation  100
653    nation  101
654    nation  201
655    nation  202
656    nation  203
657    nation  204
658    nation  205
659    nation  207
660    nation  208
661    nation  215
662    nation  998
663    nation  999
