        vname   code                                                                                       short
1        pern      1                                                                                           1
2        pern      2                                                                                           2
3        pern      3                                                                                           3
4        pern      4                                                                                           4
5        pern      5                                                                                           5
6        pern      6                                                                                           6
7        pern      7                                                                                           7
8        pern      8                                                                                           8
9        pern      9                                                                                           9
10       pern     10                                                                                          10
11       pern     11                                                                                          11
12       pern     12                                                                                          12
13       pern     13                                                                                          13
14       pern     14                                                                                          14
15       pern     15                                                                                          15
16       pern     16                                                                                          16
17       pern     17                                                                                          17
18       pern     18                                                                                          18
19       pern     19                                                                                          19
20       pern     20                                                                                          20
21       pern     21                                                                                          21
22       pern     22                                                                                          22
23       pern     23                                                                                          23
24       pern     24                                                                                          24
25       pern     25                                                                                          25
26       pern     26                                                                                          26
27       pern     27                                                                                          27
28       pern     28                                                                                          28
29       pern     29                                                                                          29
30       pern     30                                                                                          30
31       pern     31                                                                                          31
32       pern     32                                                                                          32
33       pern     33                                                                                          33
34       pern     34                                                                                          34
35       pern     35                                                                                          35
36       pern     36                                                                                          36
37       pern     37                                                                                          37
38       pern     38                                                                                          38
39       pern     39                                                                                          39
40       pern     40                                                                                          40
41       pern     41                                                                                          41
42       pern     42                                                                                          42
43       pern     43                                                                                          43
44       pern     44                                                                                          44
45       pern     45                                                                                          45
46       pern     46                                                                                          46
47       pern     47                                                                                          47
48       pern     48                                                                                          48
49       pern     49                                                                                          49
50       pern     50                                                                                          50
51       fbig      0                                                                                  No problem
52       fbig      1            Yes: households within a large dwelling were split apart into separate dwellings
53       fbig      2              Yes: persons within a large household were split apart into separate dwellings
54     region      7                                                                                  Upper Nile
55     region      8                                                                              Bahr El Ghazal
56     region      9                                                                                   Equatoria
57      state     71                                                                                  Upper Nile
58      state     72                                                                                     Jonglei
59      state     73                                                                                       Unity
60      state     81                                                                                      Warrap
61      state     82                                                                     Northern Bahr El Ghazal
62      state     83                                                                      Western Bahr El Ghazal
63      state     84                                                                                       Lakes
64      state     91                                                                           Western Equatoria
65      state     92                                                                           Central Equatoria
66      state     93                                                                           Eastern Equatoria
67      urban      1                                                                                       Urban
68      urban      2                                                                                       Rural
69     hhtype      1                                                                           Private household
70     hhtype      2                                                                                      Nomads
71     hhtype      3                                                                        Internally displaced
72     hhtype      6                                                                                    Refugees
73     dwtype      1                                                                                        Tent
74     dwtype      2                                                                      Dwelling of straw mats
75     dwtype      3                                                                       Tukul /gottiya of mud
76     dwtype      4                                                                    Tukul /gottiya of sticks
77     dwtype      5                                                                           Flat or apartment
78     dwtype      6                                                                                       Villa
79     dwtype      7                                                                     House of one floor, mud
80     dwtype      8                                                          House of one floor, brick/concrete
81     dwtype      9                                                                   House constructed of wood
82     dwtype     10                                                                           Multi-story house
83     dwtype     11                                                                                  Incomplete
84     bedrms      1                                                                                           1
85     bedrms      2                                                                                           2
86     bedrms      3                                                                                           3
