        vname   code                                                                             short
1        pern     01                                                                                 1
2        pern     02                                                                                 2
3        pern     03                                                                                 3
4        pern     04                                                                                 4
5        pern     05                                                                                 5
6        pern     06                                                                                 6
7        pern     07                                                                                 7
8        pern     08                                                                                 8
9        pern     09                                                                                 9
10       pern     10                                                                                10
11       pern     11                                                                                11
12       pern     12                                                                                12
13       pern     13                                                                                13
14       pern     14                                                                                14
15       pern     15                                                                                15
16       pern     16                                                                                16
17       pern     17                                                                                17
18       pern     18                                                                                18
19       pern     19                                                                                19
20       pern     20                                                                                20
21       pern     21                                                                                21
22       pern     22                                                                                22
23       pern     23                                                                                23
24       pern     24                                                                                24
25       pern     25                                                                                25
26       pern     26                                                                                26
27       pern     27                                                                                27
28       pern     28                                                                                28
29       pern     29                                                                                29
30       pern     30                                                                                30
31       pern     31                                                                                31
32       pern     32                                                                                32
33       pern     33                                                                                33
34       pern     34                                                                                34
35       pern     35                                                                                35
36       pern     36                                                                                36
37       pern     37                                                                                37
38       pern     38                                                                                38
39       pern     39                                                                                39
40       pern     40                                                                                40
41       pern     41                                                                                41
42       pern     42                                                                                42
43       pern     43                                                                                43
44       pern     44                                                                                44
45       pern     45                                                                                45
46       pern     46                                                                                46
47       pern     47                                                                                47
48       pern     48                                                                                48
49       pern     49                                                                                49
50       pern     50                                                                                50
51       fbig      0                                                                        No problem
52       fbig      1  Yes: households within a large dwelling were split apart into separate dwellings
53       fbig      2    Yes: persons within a large household were split apart into separate dwellings
54     region      1                                                                          Northern
55     region      2                                                                           Eastern
56     region      3                                                                          Khartoum
57     region      4                                                                           Central
58     region      5                                                                          Kordofan
59     region      6                                                                            Darfur
60      state     11                                                                          Northern
61      state     12                                                                       Nahr El Nil
62      state     21                                                                           Red Sea
63      state     22                                                                           Kassala
64      state     23                                                                        Al Gedarif
65      state     31                                                                          Khartoum
66      state     41                                                                         Al Gezira
67      state     42                                                                        White Nile
68      state     43                                                                            Sinnar
69      state     44                                                                         Blue Nile
70      state     51                                                                    North Kordofan
71      state     52                                                                    South Kordofan
72      state     61                                                                      North Darfur
73      state     62                                                                       West Darfur
74      state     63                                                                      South Darfur
75     county   1101                                                                             Halfa
76     county   1102                                                                             Dalgo
77     county   1103                                                                         Alborgaig
78     county   1104                                                                           Dongola
79     county   1105                                                                           Algolid
80     county   1106                                                                            Aldaba
81     county   1107                                                                            Marwai
82     county   1201                                                                         Abu Hamed
83     county   1202                                                                            Berber
84     county   1203                                                                            Atbara
85     county   1204                                                                          El Damar
86     county   1205                                                                            Shendi
87     county   1206                                                                         El Matama
88     county   2101                                                                           Halayib
89     county   2102                                                                           Elgunab
90     county   2103                                                                        Port Sudan
91     county   2104                                                                           Sawakin
92     county   2105                                                                            Senkat
93     county   2106                                                                              Haya
94     county   2107                                                                             Toker
95     county   2108                                                                             Agieg
96     county   2201                                                                     North Aldalta
97     county   2202                                                                      Hamashkoreeb
98     county   2203                                                                           Talkook
99     county   2204                                                                       Aroma rural
100    county   2205                                                                      West Kassala
101    county   2206                                                                      Kassala city
102    county   2207                                                                     Kassala rural
103    county   2208                                                                   Halfa Al Gedida
104    county   2209                                                                       Nahr Atbara
105    county   2210                                                                             Setit
106    county   2211                                                                     Wad El Hilaiw
107    county   2301                                                                         El Botana
108    county   2302                                                                        El Fashaga
109    county   2303                                                                Central Al Gedarif
110    county   2304                                                                   Al Gedarif city
111    county   2305                                                                            Al Fau
112    county   2306                                                                          El Rahad
113    county   2307                                                                   Qala'a El Nahal
114    county   2308                                                              Al Galabat Al Garbia
115    county   2309                                                                      El Ghoreisha
116    county   2310                                                               El Galabat Sharquia
117    county   3101                                                                           Karrari
118    county   3102                                                                           Om Bada
119    county   3103                                                                         Om Durman
120    county   3104                                                                             Bahri
121    county   3105                                                                      Sharg Alneel
122    county   3106                                                                          Khartoum
123    county   3107                                                                      Jabel Awliya
124    county   4101                                                                    El Gezira East
125    county   4102                                                                         El Kamlin
126    county   4103                                                                      El Hasaheisa
127    county   4104                                                                         Um Algora
128    county   4105                                                                 Wad Madni Alkobra
129    county   4106                                                                   South Aljazeera
130    county   4107                                                                        El Managil
131    county   4201                                                                        El Geteina
132    county   4202                                                                          Um Rimta
133    county   4203                                                                          Eldiwiem
134    county   4204                                                                             Rabak
135    county   4205                                                                       El Jebelein
136    county   4206                                                                             Kosti
137    county   4207                                                                          Al Salam
138    county   4208                                                                          Tandalti
139    county   4301                                                                       East Sinnar
140    county   4302                                                                            Sinnar
