       vname                                                      vdescription
1      cntry                                                           Country
2       year                                                              Year
3     sample                                           IPUMS sample identifier
4     serial                                           Household serial number
5      dwnum                                                   Dwelling number
6       pern                                    Number of persons in household
7       fbig Dwelling created by splitting apart a large dwelling or household
8     region                                                            Region
9      state                                                             State
10    county                                                            County
11     urban                                                 Urban/rural/nomad
12    hhtype                                                 Type of household
13    dwtype                                                  Type of dwelling
14    bedrms                                          Number of sleeping rooms
15   ownrshp                                                     Tenure status
16    watsrc                                          Source of drinking water
17  lighting                                                Source of lighting
18  fuelcook                                                      Cooking fuel
19    toilet                                                 Toilet facilities
20   vehicle                                                     Motor vehicle
21   motocyc                                                        Motorcycle
22   bicycle                                                           Bicycle
23      boat                                                        Canoe/boat
24  animtran                                                  Animal transport
25   tractor                                                           Tractor
26   notrans                                                      No transport
27        tv                                                        Television
28     radio                                                             Radio
29    mobile                                                      Mobile phone
30     phone                                                       Fixed phone
31  computer                                                          Computer
32  refridge                                                      Refrigerator
33    satell                                                    Satellite dish
34       fan                                                               Fan
35    aircon                                                     Air cooler/AC
36    noamen                                            No household amenities
37  livehood                                              Source of livelihood
38    cultiv                                        Any cultivation/plantation
39  areacult                                    Area of cultivation/plantation
40    cereal                                                           Cereals
41       veg                                             Vegetables and melons
42     fruit                                                   Fruits and nuts
43   oilseed                                                     Oilseed crops
44      root                                              Root and tuber crops
45     spice                                          Beverage and spice crops
46     legum                                                  Leguminous crops
47     sugar                                                       Sugar crops
48    cotton                                                            Cotton
49    coffee                                                            Coffee
50       tea                                                               Tea
51   othcrop                                                        Other crop
52   landown                                             Tenure status of land
53   fishery                                                           Fishery
54    cattle                                                            Cattle
55    camels                                                            Camels
56     sheep                                                             Sheep
57     goats                                                             Goats
58    horses                                                            Horses
59   donkeys                                                           Donkeys
60      pigs                                                              Pigs
61   poultry                                                           Poultry
62    deaths                                          Deaths in last 12 months
63   qhhtype                                           Flag: type of household
64   qdwtype                                            Flag: type of dwelling
65    qrooms                                             Flag: number of rooms
66  qownrshp                                                      Flag: tenure
67   qwatsrc                                    Flag: source of drinking water
68  qlightng                                          Flag: source of lighting
69   qfuelck                                                Flag: cooking fuel
70   qtoilet                                           Flag: toilet facilities
71  qvehicle                                               Flag: motor vehicle
72  qmotocyc                                                  Flag: motorcycle
73  qbicycle                                                     Flag: bicycle
74     qboat                                                  Flag: canoe/boat
75  qanitran                                            Flag: animal transport
76  qtractor                                                     Flag: tractor
77  qnotrans                                                Flag: no transport
78       qtv                                                  Flag: television
79    qradio                                                       Flag: radio
80   qmobile                                                Flag: mobile phone
81    qphone                                                 Flag: fixed phone
82  qcomputr                                                    Flag: computer
83  qrefridg                                                Flag: refrigerator
84   qsatell                                              Flag: satellite dish
85      qfan                                                         Flag: fan
86   qaircon                                               Flag: air cooler/ac
87   qnoamen                                      Flag: no household amenities
88  qlivehod                                        Flag: source of livelihood
89   qcultiv                                  Flag: any cultivation/plantation
90  qareacul                              Flag: area of cultivation/plantation
91   qcereal                                                     Flag: cereals
92      qveg                                                  Flag: vegetables
93    qfruit                                             Flag: fruits and nuts
94  qoilseed                                                    Flag: oil seed
95     qroot                                        Flag: root and tuber crops
96    qspice                                              Flag: beverage/spice
97    qlegum                                            Flag: leguminous crops
98    qsugar                                                       Flag: sugar
99   qcotton                                                      Flag: cotton
100  qcoffee                                                      Flag: coffee
101     qtea                                                         Flag: tea
102 qothcrop                                                  Flag: other crop
103 qlandown                                       Flag: tenure status of land
104 qfishery                                                     Flag: fishery
105  qcattle                                                      Flag: cattle
106  qcamels                                                      Flag: camels
107   qsheep                                                       Flag: sheep
108   qgoats                                                       Flag: goats
109  qhorses                                                      Flag: horses
110    qpigs                                                        Flag: pigs
111 qpoultry                                                     Flag: poultry
112  qdeaths                                    Flag: deaths in last 12 months
113     hhwt                                                    Housing weight
114  ndeaths                                           Number of death records
115   pernum                                                     Person number
116    wtper                                                     Person weight
117   pernum                                  Person number (within household)
118   relate                                                      Relationship
119      sex                                                               Sex
120      age                                                               Age
121   nation                                                       Nationality
122 reggroup                                                    Regional group
123 orregion                                                  Region of origin
124 bplstate                                                    State of birth
125   ustate                                          State of usual residence
126   durres                                             Duration of residence
127 migstate                                     Previous residence 1 year ago
128 fathlive                                                 Father's survival
129   limleg                                             Limited use of leg(s)
130   limarm                                             Limited use of arm(s)
131  lossarm                                                    Loss of arm(s)
132 diffhear                                             Difficulty in hearing
133     deaf                                                              Deaf
134  diffsee                                                 Difficulty seeing
135    blind                                                             Blind
136  diffspk                                            Difficulty in speaking
137     mute                                                              Mute
138 diffment                                                 Mental difficulty
139    disab                                                   Have disability
140   school                                                 School attendence
141   attend                                            School level attending
142 edattain                                              Education attainment
143  empstat                                                   Activity status
144   reason                                    Reason for economic inactivity
145      occ                                                        Occupation
146    marst                                                    Marital status
147  chbornf                                                 Females ever born
148  homemal                                             Male children at home
149  homefem                                           Female children at home
150  awaymal                                    Male children living elsewhere
151  awayfem                                  Female children living elsewhere
152  deadmal                                            Male children deceased
153  deadfem                                          Female children deceased
154   births                                         Any births last 12 months
155  birthsm                                         Males born last 12 months
156  birthsf                                       Females born last 12 months
157  livbthm                               Males born last 12 months surviving
158  livbthf                             Females born last 12 months surviving
159     qage                                                         Flag: Age
160  qreggrp                                              Flag: Regional group
161   qorreg                                            Flag: Region of origin
162 qbplstat                                              Flag: State of birth
163  qustate                                    Flag: State of usual residence
164  qdurres                                       Flag: Duration of residence
165 qmigstat                                 Flag: State of previous residence
166 qmothliv                                           Flag: Mother's survival
167 qfathliv                                           Flag: Father's survival
168 qlossleg                                              Flag: Loss of leg(s)
169 qlossarm                                              Flag: Loss of arm(s)
170    qdeaf                                                        Flag: Deaf
171   qblind                                                       Flag: Blind
172    qmute                                                        Flag: Mute
173     qlit                                                    Flag: Literacy
174  qattend                            Flag: School level currently attending
175 qedattan                                        Flag: Education attainment
176 qempstat                                             Flag: Activity status
177  qreason                              Flag: Reason for economic inactivity
178     qocc                                                  Flag: Occupation
179     qind                                             Flag: Economic sector
180 qclasswk                                           Flag: Employment status
181   qmarst                                              Flag: Marital status
182 qagemarr                                       Flag: Age at first marriage
183 qchbornm                                             Flag: Males ever born
184 qchbornf                                           Flag: Females ever born
185 qhomemal                                       Flag: Male children at home
186 qawaymal                              Flag: Male children living elsewhere
187 qawayfem                            Flag: Female children living elsewhere
