         vname  code
1         pern     1
2         pern     2
3         pern     3
4         pern     4
5         pern     5
6         pern     6
7         pern     7
8         pern     8
9         pern     9
10        pern    10
11        pern    11
12        pern    12
13        pern    13
14        pern    14
15        pern    15
16        fbig     0
17        fbig     1
18        fbig     2
19     fbig_nd     0
20     fbig_nd    16
21     fbig_nd    17
22     fbig_nd    18
23     fbig_nd    19
24     fbig_nd    20
25     fbig_nd    21
26     fbig_nd    22
27     fbig_nd    24
28     fbig_nd    25
29     fbig_nd    26
30     fbig_nd    29
31     fbig_nd    30
32     fbig_nd    35
33     fbig_nd    36
34     fbig_nd    37
35     fbig_nd    95
36     fbig_nd   103
37     fbig_nd   378
38     fbig_nh     0
39     fbig_nh    16
40     fbig_nh    17
41     fbig_nh    18
42     fbig_nh    19
43     fbig_nh    20
44     fbig_nh    21
45     fbig_nh    22
46     fbig_nh    24
47     fbig_nh    25
48     fbig_nh    26
49     fbig_nh    29
50     fbig_nh    30
51     fbig_nh    35
52     fbig_nh    36
53     fbig_nh    37
54     fbig_nh    95
55     fbig_nh   103
56     fbig_nh   378
57      canton     1
58      canton     2
59      canton     3
60      canton     4
61      canton     5
62      canton     6
63      canton     7
64      canton     8
65      canton     9
66      canton    10
67      canton    11
68      canton    12
69      canton    13
70      canton    14
71      canton    15
72      canton    17
73      canton    18
74      canton    19
75      canton    20
76      canton    21
77      canton    22
78      canton    23
79      canton    24
80      canton    25
81      canton    26
82      hhtype  1000
83      hhtype  2111
84      hhtype  2112
85      hhtype  2121
86      hhtype  2122
87      hhtype  2211
88      hhtype  2212
89      hhtype  2221
90      hhtype  2222
91      hhtype  2310
92      hhtype  2320
93      hhtype  2411
94      hhtype  2412
95      hhtype  2421
96      hhtype  3110
97      hhtype  3120
98      hhtype  3200
99      hhtype  9100
100     hhtype  9200
101     hhtype  9800
102   categbld     0
103   categbld     1
104   categbld     8
105   typebldg     1
106   typebldg     2
107   typebldg     3
108   typebldg     4
109   typebldg     5
110   typebldg     9
111    yrbuilt     1
112    yrbuilt     2
113    yrbuilt     3
114    yrbuilt     4
115    yrbuilt     5
116    yrbuilt     6
117    yrbuilt     7
118    yrbuilt     9
119     floors     1
120     floors     2
121     floors     3
122     floors     4
123     floors     5
124     floors     6
125     floors     7
126     floors     8
127     floors     9
128     floors    10
129     floors    11
130     floors    12
131     floors    13
132     floors    14
133     floors    15
134     floors    16
135     floors    17
136     floors    18
137     floors    19
138     floors    20
139     floors    21
140     floors    22
141     floors    23
142     floors    24
143     floors    25
144     floors    99
145    ownbldg     1
146    ownbldg     2
147    ownbldg     3
148    ownbldg     4
149    ownbldg     5
150    ownbldg     6
151    ownbldg     8
152    ownbldg     9
153    heating     1
154    heating     2
155    heating     3
156    heating     4
157    heating     5
158    heating     8
159    heating     9
160   hotwater     1
161   hotwater     2
162   hotwater     8
163   hotwater     9
164   fuelheat     1
165   fuelheat     2
166   fuelheat     3
167   fuelheat     4
168   fuelheat     5
169   fuelheat     9
170   fuelwatr     1
171   fuelwatr     2
172   fuelwatr     3
173   fuelwatr     4
174   fuelwatr     5
175   fuelwatr     9
176   dwellbld     1
177   dwellbld     2
178   dwellbld     3
179   dwellbld     4
180   dwellbld     5
181   dwellbld     6
182   dwellbld     7
183   dwellbld     8
184   dwellbld     9
185   dwellbld    10
186   dwellbld    11
187   dwellbld    12
188   dwellbld    13
189   dwellbld    14
190   dwellbld    15
191   dwellbld    16
192   dwellbld    17
193   dwellbld    18
194   dwellbld    19
195   dwellbld    20
196   dwellbld    21
197   dwellbld    22
198   dwellbld    23
199   dwellbld    24
200   dwellbld    25
201   dwellbld    26
202   dwellbld    27
203   dwellbld    28
204   dwellbld    29
205   dwellbld    30
206   dwellbld    31
207   dwellbld    32
208   dwellbld    33
209   dwellbld    34
210   dwellbld    35
211   dwellbld    36
212   dwellbld    37
213   dwellbld    38
214   dwellbld    39
215   dwellbld    40
216   dwellbld    41
217   dwellbld    42
218   dwellbld    43
219   dwellbld    44
220   dwellbld    45
221   dwellbld    46
222   dwellbld    47
223   dwellbld    48
224   dwellbld    49
225   dwellbld    50
226   dwellbld    51
227   dwellbld    52
228   dwellbld    53
229   dwellbld    54
230   dwellbld    55
231   dwellbld    56
232   dwellbld    57
233   dwellbld    58
234   dwellbld    59
235   dwellbld    60
236   dwellbld    61
237   dwellbld    62
238   dwellbld    63
239   dwellbld    64
240   dwellbld    65
241   dwellbld    66
242   dwellbld    67
243   dwellbld    68
244   dwellbld    69
245   dwellbld    70
246   dwellbld    99
247   permdwls     0
248   permdwls     1
249   permdwls     2
250   permdwls     3
251   permdwls     4
252   permdwls     5
253   permdwls     6
254   permdwls     7
255   permdwls     8
256   permdwls     9
257   permdwls    10
258   permdwls    11
259   permdwls    12
260   permdwls    13
261   permdwls    14
262   permdwls    15
263   permdwls    16
264   permdwls    17
265   permdwls    18
266   permdwls    19
267   permdwls    20
268   permdwls    21
269   permdwls    22
270   permdwls    23
271   permdwls    24
272   permdwls    25
273   permdwls    26
274   permdwls    27
275   permdwls    28
276   permdwls    29
277   permdwls    30
278   permdwls    31
279   permdwls    32
280   permdwls    33
281   permdwls    34
282   permdwls    35
283   permdwls    36
284   permdwls    37
285   permdwls    38
286   permdwls    39
287   permdwls    40
288   permdwls    41
289   permdwls    42
290   permdwls    43
291   permdwls    44
292   permdwls    45
293   permdwls    46
294   permdwls    47
295   permdwls    48
296   permdwls    49
297   permdwls    50
298   permdwls    51
299   permdwls    52
300   permdwls    53
301   permdwls    54
302   permdwls    55
303   permdwls    56
304   permdwls    57
305   permdwls    58
306   permdwls    59
307   permdwls    60
308   permdwls    61
309   permdwls    62
310   permdwls    63
311   permdwls    64
312   permdwls    65
313   permdwls    66
314   permdwls    67
315   permdwls    68
316   permdwls    69
317   permdwls    70
318   permdwls    99
319   tempdwls     0
320   tempdwls     1
321   tempdwls     2
322   tempdwls     3
323   tempdwls     4
324   tempdwls     5
325   tempdwls     6
326   tempdwls     7
327   tempdwls     8
328   tempdwls     9
329   tempdwls    10
330   tempdwls    11
331   tempdwls    12
332   tempdwls    13
333   tempdwls    14
334   tempdwls    15
335   tempdwls    16
336   tempdwls    17
337   tempdwls    18
338   tempdwls    19
339   tempdwls    20
340   tempdwls    21
341   tempdwls    22
342   tempdwls    23
343   tempdwls    24
344   tempdwls    25
345   tempdwls    26
346   tempdwls    27
347   tempdwls    28
348   tempdwls    29
349   tempdwls    30
350   tempdwls    99
351    vacdwls     0
352    vacdwls     1
353    vacdwls     2
354    vacdwls     3
355    vacdwls     4
356    vacdwls     5
357    vacdwls     6
358    vacdwls     7
359    vacdwls     8
360    vacdwls     9
361    vacdwls    10
362    vacdwls    11
363    vacdwls    12
364    vacdwls    13
365    vacdwls    14
366    vacdwls    15
367    vacdwls    99
368      rooms     1
369      rooms     2
370      rooms     3
371      rooms     4
372      rooms     5
373      rooms     6
374      rooms     7
375      rooms     8
376      rooms     9
377      rooms    10
378      rooms    11
379      rooms    12
380      rooms    13
381      rooms    14
382      rooms    15
383      rooms    99
384   roomscon     1
385   roomscon     2
386   roomscon     3
387   roomscon     4
388   roomscon     5
389   roomscon     6
390   roomscon     7
391   roomscon     8
392   roomscon     9
393   roomscon    10
394   roomscon    11
395   roomscon    12
396   roomscon    13
397   roomscon    14
398   roomscon    15
399   roomscon    99
400       area    10
401       area   500
402       area  9998
403       area  9999
404    kitchen     1
405    kitchen     2
406    kitchen     3
407    kitchen     9
408  occstatus     1
409  occstatus     2
410  occstatus     3
411  occstatus     4
412  occstatus     5
413  occstatus     6
414  occstatus     7
415  occstatus     8
416  occstatus     9
417       rent   100
418       rent  5000
419       rent 99998
420       rent 99999
421     pernum     0
422     pernum     1
423     pernum     2
424     pernum     3
425     pernum     4
426     pernum     5
427     pernum     6
428     pernum     7
429     pernum     8
430     pernum     9
431     pernum    10
432     pernum    11
433     pernum    12
434     pernum    13
435     pernum    14
436     pernum    15
437   labforce    11
438   labforce    12
439   labforce    13
440   labforce    14
441   labforce    20
442   labforce    31
443   labforce    32
444   labforce    33
445   labforce    34
446   labforce    35
447   labforce    99
448     nation     0
449     nation  8204
450     nation  8206
451     nation  8207
452     nation  8211
453     nation  8212
454     nation  8214
455     nation  8215
456     nation  8218
457     nation  8220
458     nation  8222
459     nation  8227
460     nation  8229
461     nation  8230
462     nation  8231
463     nation  8232
464     nation  8234
465     nation  8236
466     nation  8238
467     nation  8239
468     nation  8240
469     nation  8290
470     nation  8304
471     nation  8357
472     nation  8390
473     nation  8407
474     nation  8423
475     nation  8439
476     nation  8490
477     nation  8508
478     nation  8510
479     nation  8513
480     nation  8514
481     nation  8515
482     nation  8518
483     nation  8523
484     nation  8545
485     nation  8590
486     nation  8690
487     nation  9998
488     res5yr     1
489     res5yr     2
490     res5yr     3
491     res5yr     4
492     res5yr     5
493     res5yr     6
494     res5yr     8
495     res5yr     9
496        bpl     1
497        bpl     2
498        bpl     3
499        bpl     4
500        bpl     5
501        bpl     8
502      citiz     1
503      citiz     2
504   placwork     1
505   placwork     2
506   placwork     3
507   placwork     4
508   placwork     8
509   placwork     9
510   placeduc     1
511   placeduc     2
512   placeduc     3
513   placeduc     4
514   placeduc     8
515   placeduc     9
516        age     0
517        age     1
518        age     2
519        age     3
520        age     4
521        age     5
522        age     6
523        age     7
524        age     8
525        age     9
526        age    10
527        age    11
528        age    12
529        age    13
530        age    14
531        age    15
532        age    16
533        age    17
534        age    18
535        age    19
536        age    20
537        age    21
538        age    22
539        age    23
540        age    24
541        age    25
542        age    26
543        age    27
544        age    28
545        age    29
546        age    30
547        age    31
548        age    32
549        age    33
550        age    34
551        age    35
552        age    36
553        age    37
554        age    38
555        age    39
556        age    40
557        age    41
558        age    42
559        age    43
560        age    44
561        age    45
562        age    46
563        age    47
564        age    48
