      type       vname  position
1      int       cntry       1-3
2      int        year       4-7
3      int      sample      8-11
4   double      serial     12-21
5     long       dwnum     22-28
6     byte        pern     29-30
7   double      serial     31-38
8     byte     numprec     39-40
9     byte     subsamp     41-42
10     int     hhwtreg     43-46
11    byte    stateicp     47-48
12    byte    statefip     49-50
13     int        puma     51-54
14    byte       metro     55-55
15     int     metarea     56-59
16     int        city     60-63
17    long     citypop     64-68
18    byte          gq     69-69
19     int      gqtype     70-72
20    byte        farm     73-73
21    byte    farmprod     74-74
22    byte    ownershp     75-76
23    byte    mortgage     77-77
24    byte    mortgag2     78-78
25     int    mortamt1     79-82
26    byte     commuse     83-83
27    byte    acrehous     84-84
28    byte     taxincl     85-85
29    byte     insincl     86-86
30     int    propinsr     87-90
31    byte    proptx99     91-92
32     int     rentgrs     93-96
33    byte    rentmeal     97-97
34     int    condofee    98-101
35     int    moblhome   102-105
36     int    costelec   106-109
37     int     costgas   110-113
38     int    costwatr   114-117
39     int    costfuel   118-121
40    byte     vacancy   122-122
41    byte     kitchen   123-123
42    byte    hotwater   124-124
43    byte      shower   125-125
44    byte      toilet   126-126
45    byte    unitsstr   127-128
46    byte       phone   129-129
47     int    mortamt2   130-133
48    byte    lingisol   134-134
49    byte    fuelheat   135-135
50    byte    vehicles   136-136
51    byte       nfams   137-138
52    byte    ncouples   139-139
53    byte    nmothers   140-140
54    byte    nfathers   141-141
55    byte    qacrehou   142-142
56    byte    qmoblhom   143-143
57    byte    qmortam1   144-144
58    byte    qinsincl   145-145
59    byte    qmortam2   146-146
60    byte    qbedroom   147-147
61    byte    qcommuse   148-148
62    byte    qmortga2   149-149
63    byte    qcostele   150-150
64    byte    qmortgag   151-151
65    byte    qcostfue   152-152
66    byte    qcostgas   153-153
67    byte    qpropins   154-154
68    byte    qcostwat   155-155
69    byte    qprotx99   156-156
70    byte    qrentmea   157-157
71    byte    qfuelhea   158-158
72    byte    qplumbin   159-159
73    byte    qownersh   160-160
74    byte      qphone   161-161
75    byte       qrent   162-162
76    byte      qrooms   163-163
77    byte     qshower   164-164
78    byte    qunitsst   165-165
79    byte    qvacancy   166-166
80    byte     qvalueh   167-167
81    byte    qcondofe   168-168
82    byte    qtaxincl   169-169
83    byte    qfoodstm   170-170
84    byte    qmortg2a   171-171
85    long    pumasupr   172-176
86    byte    builtyr2   177-178
87    byte    qbuilty2   179-179
88    byte      nfams2   180-181
89    byte    ncouple2   182-182
90    byte    nmother2   183-183
91    byte    nfather2   184-184
92    byte      hhtype   185-185
93     int    conspuma   186-188
94     int      repwt1   189-192
95     int      repwt2   193-196
96     int      repwt3   197-200
97     int      repwt4   201-204
98     int      repwt5   205-208
99     int      repwt6   209-212
100    int      repwt7   213-216
101    int      repwt8   217-220
102    int      repwt9   221-224
103    int     repwt10   225-228
104    int     repwt11   229-232
105    int     repwt12   233-236
106    int     repwt13   237-240
107    int     repwt14   241-244
108    int     repwt15   245-248
109    int     repwt16   249-252
110    int     repwt17   253-256
111    int     repwt18   257-260
112    int     repwt19   261-264
113    int     repwt20   265-268
114    int     repwt21   269-272
115    int     repwt22   273-276
116    int     repwt23   277-280
117    int     repwt24   281-284
118    int     repwt25   285-288
119    int     repwt26   289-292
120    int     repwt27   293-296
121    int     repwt28   297-300
122    int     repwt29   301-304
123    int     repwt30   305-308
124    int     repwt31   309-312
125    int     repwt32   313-316
126    int     repwt33   317-320
127    int     repwt34   321-324
128    int     repwt35   325-328
129    int     repwt36   329-332
130    int     repwt37   333-336
131    int     repwt38   337-340
132    int     repwt39   341-344
133    int     repwt40   345-348
134    int     repwt41   349-352
135    int     repwt42   353-356
136    int     repwt43   357-360
137    int     repwt44   361-364
138    int     repwt45   365-368
139    int     repwt46   369-372
140    int     repwt47   373-376
141    int     repwt48   377-380
142    int     repwt49   381-384
143    int     repwt50   385-388
144    int     repwt51   389-392
145    int     repwt52   393-396
146    int     repwt53   397-400
147    int     repwt54   401-404
148    int     repwt55   405-408
149    int     repwt56   409-412
150    int     repwt57   413-416
151    int     repwt58   417-420
152    int     repwt59   421-424
153    int     repwt60   425-428
154    int     repwt61   429-432
155    int     repwt62   433-436
156    int     repwt63   437-440
157    int     repwt64   441-444
158    int     repwt65   445-448
159    int     repwt66   449-452
160    int     repwt67   453-456
161    int     repwt68   457-460
162    int     repwt69   461-464
163    int     repwt70   465-468
164    int     repwt71   469-472
165    int     repwt72   473-476
166    int     repwt73   477-480
167    int     repwt74   481-484
168    int     repwt75   485-488
169    int     repwt76   489-492
170    int     repwt77   493-496
171    int     repwt78   497-500
172    int     repwt79   501-504
173    int     repwt80   505-508
174   byte       repwt   509-509
175   byte    qvehicle   510-510
176   long     owncost   511-515
177   byte     nsubfam   516-516
178   long    hhincome   517-523
179   byte     headloc   524-524
180   byte      fridge   525-525
181   byte     qfridge   526-526
182   byte        sink   527-527
183   byte       qsink   528-528
184   byte       stove   529-529
185   byte      qstove   530-530
186   long      valueh   531-537
187   byte     multgen   538-539
188   byte    bedrooms   540-541
189   byte       rooms   542-543
190   byte    homeland   544-544
191  float      adjust   545-551
192  float       cpi99   552-554
193   byte    respmode   555-555
194   byte       appal   556-557
195   byte     validco   558-558
196    int      county   559-562
197   byte   cbnsubfam   563-563
198  float        hhwt   564-573
199    int pumares2mig   574-576
200 double      strata   577-588
201 double     cluster   589-601
202    int        rent   602-605
203   byte    qfarmpro   606-606
204    int      pernum   607-609
205  float       wtper   610-617
206   byte     pernum2   618-619
207    int     slwtreg   620-623
208    int    perwtreg   624-627
209   byte      momloc   628-629
210   byte     stepmom   630-630
211   byte      poploc   631-632
212   byte     steppop   633-633
213   byte     poprule   634-634
214   byte       sploc   635-636
215   byte      sprule   637-637
216   byte     famsize   638-639
217   byte     famsize   640-641
218   byte      nchild   642-642
219   byte      nchlt5   643-643
220   byte     famunit   644-645
221   byte       eldch   646-647
222   byte       yngch   648-649
223   byte       nsibs   650-650
224    int      relate   651-654
225   byte         age   655-656
226   byte         sex   657-657
227   byte         sex   658-658
228    int        race   659-661
229   byte       marst   662-662
230   byte      marrno   663-663
231   byte    marrinyr   664-664
232   long         bpl   665-669
233   long         bpl   670-674
234    int    ancestr1   675-678
235    int    ancestr2   679-682
236   byte     citizen   683-683
237    int      hispan   684-686
238   byte     yrsusa2   687-687
239    int    language   688-691
240   byte    speakeng   692-692
241   byte      school   693-693
242   byte      school   694-694
243   byte    schltype   695-695
244   byte     empstat   696-697
245   byte    labforce   698-698
246    int     occ1950   699-701
247   byte    occscore   702-703
248   byte         sei   704-705
249    int     ind1950   706-708
250   byte    classwkr   709-710
251   byte    wkswork2   711-711
252   byte    uhrswork   712-713
253   byte     yrsusa1   714-715
254   byte    workedyr   716-716
255   byte      absent   717-717
256   byte     looking   718-718
