          vname                                                                     vdescription
1         cntry                                                                          Country
2          year                                                                             Year
3        sample                                                          IPUMS sample identifier
4        serial                                                          Household serial number
5         dwnum                                                                  Dwelling number
6          pern                                                   Number of persons in household
7        serial                                                          Household serial number
8       numprec                                               Number of person records following
9       subsamp                                                                 Subsample number
10      hhwtreg                                                       Household weight (integer)
11     stateicp                                                               State (ICPSR code)
12     statefip                                                                State (FIPS code)
13         puma                                                        Public use microdata area
14        metro                                                              Metropolitan status
15      metarea                                                                Metropolitan area
16         city                                                                             City
17      citypop                                                       City population (hundreds)
18           gq                                                            Group quarters status
19       gqtype                                                              Group quarters type
20         farm                                                                      Farm status
21     farmprod                                                     Sales of farm products (US$)
22     ownershp                                                   Ownership of dwelling (tenure)
23     mortgage                                                                  Mortgage status
24     mortgag2                                                           Second mortgage status
25     mortamt1                                             First mortgage monthly payment (US$)
26      commuse                                                                   Commercial use
27     acrehous                                                                    House acreage
28      taxincl                                         Mortgage payment includes property taxes
29      insincl                                     Mortgage payment includes property insurance
30     propinsr                                             Annual property insurance cost (US$)
31     proptx99                                                Annual property taxes (US$), 1990
32      rentgrs                                                         Monthly gross rent (US$)
33     rentmeal                                                           Meals included in rent
34     condofee                                                    Monthly condominium fee (US$)
35     moblhome                                                   Annual mobile home costs (US$)
36     costelec                                                    Annual electricity cost (US$)
37      costgas                                                            Annual gas cost (US$)
38     costwatr                                                          Annual water cost (US$)
39     costfuel                                              Annual home heating fuel cost (US$)
40      vacancy                                                                   Vacancy status
41      kitchen                                                    Kitchen or cooking facilities
42     hotwater                                                         Hot and cold piped water
43       shower                                                                Bathtub or shower
44       toilet                                                                     Flush toilet
45     unitsstr                                                               Units in structure
46        phone                                                           Telephone availability
47     mortamt2                                            Second mortgage monthly payment (US$)
48     lingisol                                                             Linguistic isolation
49     fuelheat                                                                Home heating fuel
50     vehicles                                                               Vehicles available
51        nfams                                                  Number of families in household
52     ncouples                                           Number of married couples in household
53     nmothers                                                   Number of mothers in household
54     nfathers                                                   Number of fathers in household
55     qacrehou                                                                Flag for acrehous
56     qmoblhom                                                      Flag for moblhome, moblhom2
57     qmortam1                                                                Flag for mortamt1
58     qinsincl                                                                Flag for insrincl
59     qmortam2                                                                Flag for mortamt2
60     qbedroom                                                                Flag for bedrooms
61     qcommuse                                                                 Flag for commuse
62     qmortga2                                                                Flag for mortgag2
63     qcostele                                                                Flag for costelec
64     qmortgag                                                                Flag for mortgage
65     qcostfue                                                                Flag for costfuel
66     qcostgas                                                                 Flag for costgas
67     qpropins                                                                Flag for propinsr
68     qcostwat                                                                Flag for costwatr
69     qprotx99                                                                Flag for proptx99
70     qrentmea                                                                Flag for rentmeal
71     qfuelhea                                                                Flag for fuelheat
72     qplumbin                                                                Flag for plumbing
73     qownersh                                                                Flag for ownershp
74       qphone                                                                   Flag for phone
75        qrent                                                            Flag for rent, rent30
76       qrooms                                                                   Flag for rooms
77      qshower                                                                  Flag for shower
78     qunitsst                                                                Flag for unitsstr
79     qvacancy                                                                 Flag for vacancy
80      qvalueh                                                                  Flag for valueh
81     qcondofe                                                                Flag for condofee
82     qtaxincl                                                                 Flag for taxincl
83     qfoodstm                                                   Flag for foodstmp and fdstpamt
84     qmortg2a                                                                Flag for mortgag2
85     pumasupr                                                  Super Public Use Microdata Area
86     builtyr2                                                         Age of structure, decade
87     qbuilty2                                                                Flag for builtyr2
88       nfams2                                            Number of families in household (alt)
89     ncouple2                                      Number ofmarried couples in household (alt)
90     nmother2                                             Number of mothers in household (alt)
91     nfather2                                             Number of fathers in household (alt)
92       hhtype                                                                   Household type
93     conspuma                                             Consistent Public Use Microdata Area
94       repwt1                                                     Household replicate weight 1
95       repwt2                                                     Household replicate weight 2
96       repwt3                                                     Household replicate weight 3
97       repwt4                                                     Household replicate weight 4
98       repwt5                                                     Household replicate weight 5
99       repwt6                                                     Household replicate weight 6
100      repwt7                                                     Household replicate weight 7
101      repwt8                                                     Household replicate weight 8
102      repwt9                                                     Household replicate weight 9
103     repwt10                                                    Household replicate weight 10
104     repwt11                                                    Household replicate weight 11
105     repwt12                                                    Household replicate weight 12
106     repwt13                                                    Household replicate weight 13
107     repwt14                                                    Household replicate weight 14
108     repwt15                                                    Household replicate weight 15
109     repwt16                                                    Household replicate weight 16
110     repwt17                                                    Household replicate weight 17
111     repwt18                                                    Household replicate weight 18
112     repwt19                                                    Household replicate weight 19
113     repwt20                                                    Household replicate weight 20
114     repwt21                                                    Household replicate weight 21
115     repwt22                                                    Household replicate weight 22
116     repwt23                                                    Household replicate weight 23
117     repwt24                                                    Household replicate weight 24
118     repwt25                                                    Household replicate weight 25
119     repwt26                                                    Household replicate weight 26
120     repwt27                                                    Household replicate weight 27
121     repwt28                                                    Household replicate weight 28
122     repwt29                                                    Household replicate weight 29
123     repwt30                                                    Household replicate weight 30
124     repwt31                                                    Household replicate weight 31
125     repwt32                                                    Household replicate weight 32
126     repwt33                                                    Household replicate weight 33
127     repwt34                                                    Household replicate weight 34
128     repwt35                                                    Household replicate weight 35
129     repwt36                                                    Household replicate weight 36
130     repwt37                                                    Household replicate weight 37
131     repwt38                                                    Household replicate weight 38
132     repwt39                                                    Household replicate weight 39
133     repwt40                                                    Household replicate weight 40
134     repwt41                                                    Household replicate weight 41
135     repwt42                                                    Household replicate weight 42
136     repwt43                                                    Household replicate weight 43
137     repwt44                                                    Household replicate weight 44
138     repwt45                                                    Household replicate weight 45
139     repwt46                                                    Household replicate weight 46
140     repwt47                                                    Household replicate weight 47
141     repwt48                                                    Household replicate weight 48
142     repwt49                                                    Household replicate weight 49
143     repwt50                                                    Household replicate weight 50
144     repwt51                                                    Household replicate weight 51
145     repwt52                                                    Household replicate weight 52
146     repwt53                                                    Household replicate weight 53
147     repwt54                                                    Household replicate weight 54
148     repwt55                                                    Household replicate weight 55
149     repwt56                                                    Household replicate weight 56
150     repwt57                                                    Household replicate weight 57
151     repwt58                                                    Household replicate weight 58
152     repwt59                                                    Household replicate weight 59
153     repwt60                                                    Household replicate weight 60
154     repwt61                                                    Household replicate weight 61
155     repwt62                                                    Household replicate weight 62
156     repwt63                                                    Household replicate weight 63
157     repwt64                                                    Household replicate weight 64
158     repwt65                                                    Household replicate weight 65
159     repwt66                                                    Household replicate weight 66
160     repwt67                                                    Household replicate weight 67
161     repwt68                                                    Household replicate weight 68
162     repwt69                                                    Household replicate weight 69
