             vname   code
1         mx10pern     01
2         mx10pern     02
3         mx10pern     03
4         mx10pern     04
5         mx10pern     05
6         mx10pern     06
7         mx10pern     07
8         mx10pern     08
9         mx10pern     09
10        mx10pern     10
11        mx10pern     11
12        mx10pern     12
13        mx10pern     13
14        mx10pern     14
15        mx10pern     15
16        mx10pern     16
17        mx10pern     17
18        mx10pern     18
19        mx10pern     19
20        mx10pern     20
21        mx10pern     21
22        mx10pern     22
23        mx10pern     23
24        mx10pern     24
25        mx10pern     25
26        mx10pern     26
27        mx10pern     27
28        mx10pern     28
29        mx10pern     29
30        mx10pern     30
31        mx10pern     31
32        mx10pern     32
33        mx10pern     33
34        mx10pern     34
35        mx10pern     35
36        mx10pern     38
37       mx10state     01
38       mx10state     02
39       mx10state     03
40       mx10state     04
41       mx10state     05
42       mx10state     06
43       mx10state     07
44       mx10state     08
45       mx10state     09
46       mx10state     10
47       mx10state     11
48       mx10state     12
49       mx10state     13
50       mx10state     14
51       mx10state     15
52       mx10state     16
53       mx10state     17
54       mx10state     18
55       mx10state     19
56       mx10state     20
57       mx10state     21
58       mx10state     22
59       mx10state     23
60       mx10state     24
61       mx10state     25
62       mx10state     26
63       mx10state     27
64       mx10state     28
65       mx10state     29
66       mx10state     30
67       mx10state     31
68       mx10state     32
69       mx10munic  01001
70       mx10munic  01002
71       mx10munic  01003
72       mx10munic  01004
73       mx10munic  01005
74       mx10munic  01006
75       mx10munic  01007
76       mx10munic  01008
77       mx10munic  01009
78       mx10munic  01010
79       mx10munic  01011
80       mx10munic  02001
81       mx10munic  02002
82       mx10munic  02003
83       mx10munic  02004
84       mx10munic  02005
85       mx10munic  03001
86       mx10munic  03002
87       mx10munic  03003
88       mx10munic  03008
89       mx10munic  03009
90       mx10munic  04001
91       mx10munic  04002
92       mx10munic  04003
93       mx10munic  04004
94       mx10munic  04005
95       mx10munic  04006
96       mx10munic  04007
97       mx10munic  04008
98       mx10munic  04009
99       mx10munic  04010
100      mx10munic  04011
101      mx10munic  05001
102      mx10munic  05002
103      mx10munic  05003
104      mx10munic  05004
105      mx10munic  05005
106      mx10munic  05006
107      mx10munic  05007
108      mx10munic  05008
109      mx10munic  05009
110      mx10munic  05010
111      mx10munic  05011
112      mx10munic  05012
113      mx10munic  05013
114      mx10munic  05014
115      mx10munic  05015
116      mx10munic  05016
117      mx10munic  05017
118      mx10munic  05018
119      mx10munic  05019
120      mx10munic  05020
121      mx10munic  05021
122      mx10munic  05022
123      mx10munic  05023
124      mx10munic  05024
125      mx10munic  05025
126      mx10munic  05026
127      mx10munic  05027
128      mx10munic  05028
129      mx10munic  05029
130      mx10munic  05030
131      mx10munic  05031
132      mx10munic  05032
133      mx10munic  05033
134      mx10munic  05034
135      mx10munic  05035
136      mx10munic  05036
137      mx10munic  05037
138      mx10munic  05038
139      mx10munic  06001
140      mx10munic  06002
141      mx10munic  06003
142      mx10munic  06004
143      mx10munic  06005
144      mx10munic  06006
145      mx10munic  06007
146      mx10munic  06008
147      mx10munic  06009
148      mx10munic  06010
149      mx10munic  07001
150      mx10munic  07002
151      mx10munic  07003
152      mx10munic  07004
153      mx10munic  07005
154      mx10munic  07006
155      mx10munic  07007
156      mx10munic  07008
157      mx10munic  07009
158      mx10munic  07010
159      mx10munic  07011
160      mx10munic  07012
161      mx10munic  07013
162      mx10munic  07014
163      mx10munic  07015
164      mx10munic  07016
165      mx10munic  07017
166      mx10munic  07018
167      mx10munic  07019
168      mx10munic  07020
169      mx10munic  07021
170      mx10munic  07022
171      mx10munic  07023
172      mx10munic  07024
173      mx10munic  07025
174      mx10munic  07026
175      mx10munic  07027
176      mx10munic  07028
177      mx10munic  07029
178      mx10munic  07030
179      mx10munic  07031
180      mx10munic  07032
181      mx10munic  07033
182      mx10munic  07034
183      mx10munic  07035
184      mx10munic  07036
185      mx10munic  07037
186      mx10munic  07038
187      mx10munic  07039
188      mx10munic  07040
189      mx10munic  07041
190      mx10munic  07042
191      mx10munic  07043
192      mx10munic  07044
193      mx10munic  07045
